Pid;﻿tipo;nombre;latitud;longitud;region;comuna;fecha apertura
245;2;Meridian Waste Solutions, Inc;-4.556.787.716;-6.774.744.981;XV de Arica y Parinacota;General Lagos;1979-10-21
246;2;Kayne Anderson Energy Total Return Fund, Inc.;-2.357.398.446;-7.200.715.791;Metropolitana de Santiago;Curacavi;1979-11-22
247;2;Limoneira Co;-2.241.457.701;-6.934.907.021;II de Antofagasta;Antofagasta;2002-11-23
248;2;First Financial Bankshares, Inc.;-4.940.819.843;-7.344.452.398;XII de Magallanes y de la Antartica Chilena;Primavera;1969-02-06
249;2;Cyclacel Pharmaceuticals, Inc.;-5.406.178.027;-7.036.594.979;II de Antofagasta;Taltal;2017-07-20
250;3;Crawford & Company;-5.416.098.596;-7.344.295.806;IV de Coquimbo;Vicuña;2005-08-16
251;3;Delcath Systems, Inc.;-3.917.132.517;-7.207.184.672;III de Atacama;Diego de Almagro;1969-03-04
252;2;Ashford Hospitality Prime, Inc.;-45.841.688;-7.424.113.967;V de Valparaiso;Valparaiso;1969-05-27
253;2;Rush Enterprises, Inc.;-3.049.560.682;-7.322.249.931;III de Atacama;Chañaral;1957-11-21
254;3;GlaxoSmithKline PLC;-1.847.051.602;-7.013.306.378;III de Atacama;Chañaral;1952-09-23
255;3;Great Plains Energy Inc;-3.339.907.535;-736.965.027;VI del Libertador General Bernardo O'Higgins;Rancagua;1959-08-07
256;2;Urban One, Inc. ;-226.316.032;-6.988.975.164;II de Antofagasta;Sierra Gorda;1999-11-21
257;3;Bed Bath & Beyond Inc.;-3.041.079.413;-7.228.140.068;III de Atacama;Chañaral;1982-11-17
258;3;PIMCO Dynamic Credit and Mortgage Income Fund;-4.415.489.593;-7.361.271.333;IV de Coquimbo;Ovalle;1980-03-19
259;2;Apollo Senior Floating Rate Fund Inc.;-3.720.283.556;-7.369.478.663;V de Valparaiso;Concon;2006-06-25
260;1;Caserones;-3.116.089.173;-7.089.554.656;III de Atacama;Tierra Amarilla;1981-12-11
261;1;Linderos;-5.410.836.128;-7.254.131.209;IV de Coquimbo;Vicuña;1980-11-15
262;1;Andacollo Oro;-3.940.655.928;-7.312.322.375;IV de Coquimbo;Canela;1975-07-15
263;2;Carvana Co.;-3.063.543.452;-6.832.490.076;II de Antofagasta;Taltal;2015-12-16
264;3;Northern Trust Corporation;-3.329.786.746;-720.236.178;II de Antofagasta;Sierra Gorda;1979-01-22
265;1;Celite - Tilviche;-4.748.083.996;-6.978.816.034;I de Tarapaca;Camiña;1965-09-04
266;1;El Teniente;-3.210.812.979;-7.410.672.937;VI del Libertador General Bernardo O'Higgins;Rancagua;1989-01-12
267;3;Neff Corporation;-4.549.644.381;-7.614.144.442;XII de Magallanes y de la Antartica Chilena;Antartica;1973-12-11
268;2;VictoryShares US 500 Enhanced Volatility Wtd ETF;-2.972.839.455;-7.102.219.486;II de Antofagasta;Maria Elena;1970-09-27
269;1;Flor de Los Andes;-4.675.384.618;-7.152.360.501;IV de Coquimbo;Combarbala;1954-07-25
270;1;Isla Riesco;-4.553.392.116;-7.480.555.265;XII de Magallanes y de la Antartica Chilena;Antartica;2000-08-13
271;3;First Trust South Korea AlphaDEX Fund;-247.683.369;-718.845.958;VI del Libertador General Bernardo O'Higgins;Codegua;1991-11-12
272;3;PDF Solutions, Inc.;-4.517.052.541;-6.998.027.157;XV de Arica y Parinacota;Putre;1979-02-28
273;2;Cabot Corporation;-4.182.457.563;-7.004.926.654;III de Atacama;Alto del Carmen;1996-09-29
274;2;Data Processing;-4.759.593.324;-7.236.669.104;III de Atacama;Vallenar;1974-07-27
275;1;Ivan;-3.811.993.762;-7.060.047.994;II de Antofagasta;Sierra Gorda;1980-02-22
276;1;Cosayach - Negreiros;-5.089.317.516;-6.980.606.347;I de Tarapaca;Colchane;1979-05-16
277;1;Delta;-3.854.033.002;-7.139.594.038;IV de Coquimbo;Salamanca;1990-01-07
278;2;Silvercrest Asset Management Group Inc.;-5.164.844.751;-7.030.809.486;II de Antofagasta;Ollague;1950-07-15
279;1;Tres Valles;-2.283.237.098;-7.219.113.554;IV de Coquimbo;Punitaqui;1998-10-14
280;3;Enanta Pharmaceuticals, Inc.;-2.929.631.515;-7.379.609.293;V de Valparaiso;Quintero;1976-06-06
281;3;Safe Bulkers, Inc;-4.675.649.659;-696.195.718;II de Antofagasta;Mejillones;1975-03-23
282;1;Pascua;-4.584.541.746;-7.250.348.538;III de Atacama;Huasco;1996-04-29
283;2;Biglari Holdings Inc.;-2.051.543.241;-7.421.582.041;XII de Magallanes y de la Antartica Chilena;Natales;1965-07-07
284;3;Gray Television, Inc.;-5.106.075.258;-7.425.340.939;Metropolitana de Santiago;Alhue;2004-10-06
285;3;CatchMark Timber Trust, Inc.;-3.344.505.908;-7.221.041.226;II de Antofagasta;Antofagasta;1990-08-20
286;1;Las Piedras;-4.310.144.946;-7.268.829.782;VII del Maule;Tirua;1982-11-17
287;2;Western New England Bancorp, Inc.;-3.766.461.088;-7.062.854.518;II de Antofagasta;Sierra Gorda;1999-02-18
288;3;Shutterstock, Inc.;-2.378.497.286;-7.187.950.768;Metropolitana de Santiago;Curacavi;1986-11-28
289;2;FSB Bancorp, Inc.;-2.397.880.405;-7.325.941.333;XII de Magallanes y de la Antartica Chilena;Rio Verde;1970-05-18
290;1;SQM - Pedro de Valdivia;-4.257.570.453;-6.951.443.977;II de Antofagasta;Antofagasta;1992-06-23
291;2;United Microelectronics Corporation;-3.430.260.501;-7.207.558.777;II de Antofagasta;Antofagasta;1966-08-21
292;3;Adams Diversified Equity Fund, Inc.;-2.361.028.685;-7.234.481.198;XIV de Los Rios;Panguipulli;1960-04-22
293;1;Tranquilo;-5.113.728.473;-7.303.610.548;XII de Magallanes y de la Antartica Chilena;Laguna Blanca;2019-03-14
294;1;Guanaco;-2.265.293.536;-7.066.180.792;II de Antofagasta;Sierra Gorda;2008-06-12
295;2;PowerShares Nasdaq Internet Portfolio;-3.058.149.323;-6.853.531.036;I de Tarapaca;Huara;1966-01-21
296;1;Lota;-1.796.384.615;-7.333.109.039;VIII del Bio-Bio;Santa Barbara;2002-12-13
297;2;Diageo plc;-3.890.344.507;-6.846.931.075;XV de Arica y Parinacota;Arica;2015-11-26
298;1;El Tofo;-4.626.421.645;-721.887.842;IV de Coquimbo;La Serena;2016-04-23
299;2;Fair Isaac Corporation;-1.905.572.733;-701.235.245;I de Tarapaca;Pozo Almonte;1952-04-08
300;2;PTC Inc.;-4.392.126.064;-7.025.055.601;I de Tarapaca;Pica;1994-04-30
301;3;E.I. du Pont de Nemours and Company;-5.258.694.562;-6.953.267.975;II de Antofagasta;Ollague;1986-02-12
302;2;Stamps.com Inc.;-3.214.490.051;-7.002.574.064;III de Atacama;Tierra Amarilla;1982-11-01
303;3;Vina Concha Y Toro;-4.230.241.952;-724.703.344;VII del Maule;Tirua;2010-03-21
304;3;Tootsie Roll Industries, Inc.;-297.891.032;-6.888.677.317;II de Antofagasta;San Pedro de Atacama;1971-12-02
305;1;Manto Verde;-371.680.669;-7.199.358.865;III de Atacama;Caldera;1967-02-15
306;2;Ellie Mae, Inc.;-4.602.318.735;-7.231.154.556;IV de Coquimbo;La Serena;2001-09-25
307;3;The Chefs' Warehouse, Inc.;-5.031.195.952;-7.041.277.162;II de Antofagasta;Ollague;2010-05-13
308;1;Quiborax;-454.454.804;-6.966.660.029;XV de Arica y Parinacota;Putre;1976-01-04
309;3;India Fund, Inc. (The);-1.704.318.272;-7.471.887.529;XII de Magallanes y de la Antartica Chilena;Porvenir;1986-02-27
310;3;Gladstone Commercial Corporation;-5.547.742.963;-7.028.823.355;I de Tarapaca;Alto Hospicio;2010-03-10
311;2;Check-Cap Ltd.;-1.952.616.206;-6.996.478.385;II de Antofagasta;Calama;1960-09-20
312;2;Investors Bancorp, Inc.;-5.083.989.176;-7.362.680.698;Metropolitana de Santiago;Alhue;1976-04-22
313;2;MasTec, Inc.;-2.398.766.982;-7.231.728.235;II de Antofagasta;Tocopilla;1977-01-06
314;1;Las Pataguas;-2.574.654.418;-7.232.445.062;VI del Libertador General Bernardo O'Higgins;Codegua;1957-04-25
315;1;Las Luces;-5.392.453.577;-7.107.589.986;II de Antofagasta;Taltal;1974-12-21
316;3;DRDGOLD Limited;-4.689.029.091;-7.091.828.549;IV de Coquimbo;Combarbala;2018-06-26
317;2;Johnson & Johnson;-3.124.773.185;-7.337.599.763;Metropolitana de Santiago;Isla de Maipo;1965-01-29
318;1;Cosayach - Soledad;-224.076.122;-6.904.604.462;I de Tarapaca;Iquique;2009-04-21
319;2;Nuveen Municipal High Income Opportunity Fund;-3.889.603.639;-7.287.012.397;IV de Coquimbo;Paiguano;1962-10-18
320;3;Herman Miller, Inc.;-2.271.390.651;-7.005.634.205;II de Antofagasta;Sierra Gorda;1957-12-03
321;1;III de Atacama Kozan;-4.694.661.338;-721.569.849;III de Atacama;Vallenar;1959-08-20
322;3;Fidus Investment Corporation;-4.546.401.685;-7.092.528.827;I de Tarapaca;Camiña;1952-06-29
323;2;Portola Pharmaceuticals, Inc.;-2.194.825.924;-7.405.111.571;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez;1952-01-29
324;3;Great Elm Capital Corp.;-4.691.888.967;-6.886.531.922;I de Tarapaca;Colchane;2001-06-23
325;1;Cordillera - Tenardita;-4.784.204.942;-6.903.536.409;I de Tarapaca;Colchane;1966-10-23
326;2;Avenue Therapeutics, Inc.;-4.936.704.952;-6.943.572.153;II de Antofagasta;Mejillones;2006-05-01
327;1;Pullalli;-4.015.613.517;-7.348.525.548;V de Valparaiso;Casablanca;1982-09-16
328;1;Los Bronces;-2.063.235.417;-7.330.770.741;Metropolitana de Santiago;Maria Pinto;2010-04-28
329;2;Pepsico, Inc.;-4.460.997.938;-748.371.451;XII de Magallanes y de la Antartica Chilena;Punta Arenas;2016-04-01
330;1;Candelaria;-5.071.227.996;-7.128.340.564;III de Atacama;Freirina;1956-10-24
331;3;West Corporation;-3.360.469.188;-740.102.517;IV de Coquimbo;Los Vilos;2004-11-25
332;1;Pupunahue;-2.524.011.737;-7.281.762.993;XIV de Los Rios;Panguipulli;1979-06-16
333;3;Dollar General Corporation;-4.538.138.189;-7.064.325.644;II de Antofagasta;Maria Elena;2012-11-13
334;2;Bright Scholar Education Holdings Limited;-3.229.399.007;-6.903.379.064;I de Tarapaca;Huara;1988-05-24
335;2;Zynerba Pharmaceuticals, Inc.;-4.627.776.541;-6.997.186.244;II de Antofagasta;Mejillones;1968-06-29
336;1;CMP - Romeral;-3.548.098.221;-711.905.625;IV de Coquimbo;Coquimbo;1954-07-10
337;1;Pinatolca;-260.446.954;-7.404.301.221;VII del Maule;Los Alamos;1951-04-18
338;3;Cohen & Steers Reit and Preferred Income Fund Inc;-2.351.683.606;-7.225.654.139;IV de Coquimbo;Punitaqui;1969-05-08
339;3;B.O.S. Better Online Solutions;-1.580.399.679;-7.097.515.952;II de Antofagasta;Taltal;1962-08-12
340;3;Hamilton Lane Incorporated;-4.766.448.994;-7.342.405.483;VIII del Bio-Bio;Alto Biobio;1950-03-23
341;2;ENGlobal Corporation;-4.598.702.795;-7.143.452.191;II de Antofagasta;Calama;1952-02-12
342;2;Incyte Corporation;-3.830.897.238;-718.913.141;III de Atacama;Caldera;2002-12-24
343;2;Westbury Bancorp, Inc.;-2.306.057.125;-7.179.959.903;III de Atacama;Huasco;2014-12-14
344;3;HD Supply Holdings, Inc.;-4.887.088.641;-6.969.011.616;II de Antofagasta;Mejillones;2000-01-07
345;3;BRF S.A.;-1.740.821.544;-7.388.095.802;Metropolitana de Santiago;Talagante;1951-08-04
346;1;Zaldivar;-3.373.365.319;-7.020.110.685;II de Antofagasta;Taltal;1958-09-19
347;3;Aspen Technology, Inc.;-2.155.807.674;-684.005.989;II de Antofagasta;Antofagasta;2014-03-04
348;2;Entergy Louisiana, Inc.;-2.616.436.623;-7.002.406.051;III de Atacama;Copiapo;2016-04-19
349;2;Independence Holding Company;-3.939.264.851;-7.093.554.426;II de Antofagasta;San Pedro de Atacama;1987-06-12
350;2;Midland States Bancorp, Inc.;-3.433.874.333;-7.015.395.928;II de Antofagasta;Taltal;1998-01-10
351;3;Patriot National Bancorp Inc.;-5.341.162.037;-6.957.491.598;II de Antofagasta;Tocopilla;1974-11-11
352;1;Talcuna;-3.866.487.599;-7.303.103.802;IV de Coquimbo;Paiguano;1961-08-19
353;3;Blackhawk Network Holdings, Inc.;-4.502.246.855;-7.549.329.275;XII de Magallanes y de la Antartica Chilena;Punta Arenas;1978-08-02
354;3;Natl Westminster Pfd;-3.651.659.763;-7.305.176.744;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos;1963-12-21
355;3;AMC Entertainment Holdings, Inc.;-3.215.450.946;-7.167.009.816;III de Atacama;Tierra Amarilla;2001-10-17
356;3;Salesforce.com Inc;-4.980.974.272;-7.315.258.443;XII de Magallanes y de la Antartica Chilena;Primavera;1976-08-03
357;2;Ocular Therapeutix, Inc.;-1.820.712.344;-7.024.368.891;III de Atacama;Huasco;1972-06-30
358;2;Hawkins, Inc.;-1.895.193.054;-7.032.171.306;III de Atacama;Chañaral;1987-10-06
359;1;Colico Sur;-5.294.103;-7.393.599.634;VIII del Bio-Bio;Tucapel;1987-11-28
360;1;El Peñon;-2.407.753.673;-7.166.921.793;II de Antofagasta;Tocopilla;1994-07-06
361;2;CoreSite Realty Corporation;-1.762.297.702;-7.380.370.682;XII de Magallanes y de la Antartica Chilena;Porvenir;1963-06-23
362;2;Western Alliance Bancorporation;-4.643.216.631;-7.049.138.637;II de Antofagasta;Mejillones;1993-09-29
363;2;Alliance National Municipal Income Fund Inc;-4.906.597.315;-681.586.654;I de Tarapaca;Camiña;1967-11-09
364;2;iShares 20+ Year Treasury Bond ETF;-5.114.222.733;-7.051.192.856;III de Atacama;Tierra Amarilla;1990-05-10
365;3;Envision Healthcare Corporation;-3.225.602.205;-7.370.938.746;IV de Coquimbo;Rio Hurtado;1974-11-19
366;1;SQM - Pampa Blanca;-5.476.566.051;-7.009.450.066;II de Antofagasta;Tocopilla;1996-10-11
367;1;Lomas Bayas;-4.093.401.642;-7.091.297.411;II de Antofagasta;San Pedro de Atacama;1954-05-06
368;3;FairPoint Communications, Inc.;-5.134.889.643;-717.560.449;IV de Coquimbo;Andacollo;1992-12-30
369;3;Arlington Asset Investment Corp;-521.926.009;-7.002.288.822;II de Antofagasta;Ollague;1997-08-25
370;1;Andina;-2.432.664.962;-7.357.833.754;V de Valparaiso;Villa Alemana;1961-07-22
371;1;Celite - Carol;-4.599.004.483;-6.984.882.794;XV de Arica y Parinacota;Camarones;2001-05-22
372;3;Tekla Healthcare Opportunies Fund;-3.262.408.895;-697.066.942;III de Atacama;Tierra Amarilla;2008-12-28
373;2;American Homes 4 Rent;-3.660.213.838;-6.967.858.338;II de Antofagasta;Calama;1963-09-12
374;2;support.com, Inc.;-4.305.898.659;-6.861.561.527;I de Tarapaca;Alto Hospicio;2000-11-01
375;3;Nuveen Floating Rate Income Fund;-1.675.485.413;-7.116.848.181;III de Atacama;Vallenar;1966-07-12
376;2;Hurco Companies, Inc.;-5.375.776.763;-7.128.707.576;III de Atacama;Copiapo;2001-01-03
377;3;Littelfuse, Inc.;-385.166.006;-7.130.822.182;IV de Coquimbo;Salamanca;1969-12-05
378;2;Kraton Corporation;-4.675.479.779;-7.115.166.944;II de Antofagasta;Ollague;1989-06-19
379;2;Applied DNA Sciences Inc;-3.991.924.724;-7.330.630.723;IV de Coquimbo;Canela;1963-12-08
380;2;Blackstone GSO Long Short Credit Income Fund;-5.359.601.847;-7.448.174.488;V de Valparaiso;Puchuncavi;1984-01-27
381;3;Chegg, Inc.;-4.036.010.157;-7.297.417.772;V de Valparaiso;Casablanca;2015-01-04
382;3;Vectrus, Inc.;-4.970.049.363;-6.828.510.012;I de Tarapaca;Camiña;1958-09-19
383;2;Yahoo! Inc.;-5.086.661.529;-7.095.263.054;II de Antofagasta;Ollague;1961-01-11
384;3;CVS Health Corporation;-5.066.032.276;-6.903.531.431;I de Tarapaca;Pozo Almonte;1960-08-08
385;3;Commerce Bancshares, Inc.;-4.776.020.288;-7.015.008.743;II de Antofagasta;Maria Elena;2016-04-20
386;3;Sarepta Therapeutics, Inc.;-2.927.055.799;-7.038.725.328;III de Atacama;Freirina;1976-01-07
387;1;Romeral;-1.770.796.623;-7.370.450.394;Metropolitana de Santiago;Talagante;1973-05-18
388;3;Texas Pacific Land Trust;-3.532.999.827;-7.200.211.361;II de Antofagasta;Maria Elena;1961-04-18
389;2;Esterline Technologies Corporation;-3.771.621.836;-7.231.495.104;III de Atacama;Caldera;1984-03-15
390;2;Silicon Motion Technology Corporation;-3.276.764.967;-7.147.415.533;II de Antofagasta;Sierra Gorda;2010-11-17
391;2;Ceragon Networks Ltd.;-3.956.394.284;-6.975.223.962;III de Atacama;Caldera;1987-05-16
392;2;MiMedx Group, Inc;-5.155.577.341;-6.868.117.893;I de Tarapaca;Pozo Almonte;1954-07-22
393;1;La Pepa;-5.195.141.748;-7.122.207.609;III de Atacama;Tierra Amarilla;2006-07-21
394;1;Jeronimo;-3.177.103.906;-7.145.606.195;III de Atacama;Tierra Amarilla;1976-01-09
395;1;Sierra Gorda;-299.037.532;-6.920.477.898;II de Antofagasta;San Pedro de Atacama;1985-09-16
396;3;Waste Management, Inc.;-3.891.178.905;-7.173.239.195;VII del Maule;Curanilahue;1997-11-28
397;1;Andes Travertine;-1.909.271.584;-6.947.178.711;II de Antofagasta;Tocopilla;1992-10-31
398;3;Eagle Bulk Shipping Inc.;-3.969.256.421;-7.314.064.804;IV de Coquimbo;Canela;1987-11-17
399;1;SQM - Nueva Victoria;-5.473.005.883;-7.054.483.001;I de Tarapaca;Alto Hospicio;1993-08-21
400;2;Dupont Fabros Technology, Inc.;-2.476.562.075;-7.372.311.695;V de Valparaiso;Villa Alemana;1991-04-02
401;2;Brookfield Global Listed Infrastructure Income Fund;-5.490.481.689;-7.299.829.869;IV de Coquimbo;Vicuña;2013-05-06
402;2;Impax Laboratories, Inc.;-4.859.547.852;-7.378.895.577;VIII del Bio-Bio;Alto Biobio;2004-08-04
403;3;Everspin Technologies, Inc.;-3.918.346.766;-6.782.215.525;XV de Arica y Parinacota;Arica;1994-06-28
404;1;Ministro Hales;-2.018.310.356;-6.991.162.467;II de Antofagasta;Calama;1980-04-27
405;1;SQM - Yumbes;-4.680.526.688;-7.117.699.473;II de Antofagasta;Mejillones;1978-08-11
406;2;Nabriva Therapeutics AG;-445.237.386;-7.367.953.291;VIII del Bio-Bio;San Rosendo;1986-03-02
407;2;OraSure Technologies, Inc.;-2.299.538.727;-6.927.296.898;I de Tarapaca;Iquique;1966-03-22
408;1;Radomiro Tomic;-3.339.540.661;-7.061.147.918;II de Antofagasta;Sierra Gorda;1981-10-27
409;3;PrimeEnergy Corporation;-5.191.507.329;-7.082.429.759;III de Atacama;Freirina;1966-07-05
410;3;TICC Capital Corp.;-4.665.052.586;-6.974.814.838;II de Antofagasta;Mejillones;1956-05-31
411;3;Pinnacle Financial Partners, Inc.;-3.201.134.156;-6.905.264.329;I de Tarapaca;Huara;1980-11-02
412;2;HCA Healthcare, Inc.;-4.329.197.132;-7.195.914.899;II de Antofagasta;Antofagasta;1965-08-30
413;3;Kopin Corporation;-5.006.681.348;-71.288.365;III de Atacama;Alto del Carmen;1978-12-24
414;2;Commercial Vehicle Group, Inc.;-3.562.259.333;-7.160.991.232;II de Antofagasta;Maria Elena;1991-05-08
415;1;Can Can;-4.983.601.833;-7.112.592.996;III de Atacama;Alto del Carmen;2016-04-10
416;2;The Travelers Companies, Inc.;-2.938.267.045;-7.083.420.453;III de Atacama;Freirina;1980-11-06
417;3;BlackRock Municipal Target Term Trust Inc. (The);-3.921.827.739;-7.102.138.421;II de Antofagasta;San Pedro de Atacama;1955-03-31
418;1;Quebrada Blanca;-5.057.327.772;-6.891.799.663;I de Tarapaca;Pozo Almonte;1987-01-17
419;1;CMP - Cerro Negro Norte;-3.027.265.127;-7.139.812.945;III de Atacama;Freirina;1961-09-26
420;3;Nuveen Energy MLP Total Return Fund;-5.281.861.719;-7.437.026.443;V de Valparaiso;Puchuncavi;1972-02-16
421;2;Global Partner Acquisition Corp.;-5.089.461.916;-7.077.945.522;I de Tarapaca;Colchane;2009-02-06
422;2;3M Company;-4.732.142.188;-7.289.968.237;Metropolitana de Santiago;El Monte;1950-05-05
423;1;La Productora;-4.592.687.329;-7.144.643.519;III de Atacama;Diego de Almagro;2018-12-26
424;1;Cerro Iman;-3.991.479.342;-7.071.904.433;III de Atacama;Caldera;1960-08-12
425;1;SQM - Maria Elena;-3.072.064.609;-6.919.189.683;II de Antofagasta;Ollague;1961-02-08
426;3;Biocept, Inc.;-3.482.049.098;-7.376.922.988;XII de Magallanes y de la Antartica Chilena;Timaukel;1994-08-13
427;2;Cummins Inc.;-2.909.117.012;-6.889.030.305;II de Antofagasta;San Pedro de Atacama;1956-05-01
428;3;Arista Networks, Inc.;-4.795.224.885;-72.625.789;III de Atacama;Vallenar;1972-09-24
429;3;ILG, Inc;-4.240.115.957;-6.927.629.579;II de Antofagasta;San Pedro de Atacama;1983-04-24
430;1;Lambert;-5.285.135.542;-7.164.256.207;IV de Coquimbo;Andacollo;1960-07-05
431;1;Caleta El Cobre;-3.586.420.182;-7.051.754.931;II de Antofagasta;Calama;1984-02-01
432;1;Ferton;-4.748.875.104;-7.210.622.211;Metropolitana de Santiago;El Monte;1955-06-03
433;3;Moog Inc.;-1.850.708.785;-7.002.931.389;III de Atacama;Huasco;1967-11-28
434;3;LM Funding America, Inc.;-3.742.139.201;-7.482.919.835;XIV de Los Rios;Rio Bueno;1954-11-14
435;3;PrivateBancorp, Inc.;-3.402.539.502;-6.921.071.103;II de Antofagasta;Sierra Gorda;1981-09-05
436;1;Coiron;-2.298.723.402;-7.314.125.365;XII de Magallanes y de la Antartica Chilena;Rio Verde;1985-10-05
437;2;Microsemi Corporation;-5.065.226.007;-7.276.420.235;XII de Magallanes y de la Antartica Chilena;Laguna Blanca;1989-03-17
438;3;Zion Oil & Gas Inc;-3.475.875.536;-7.191.521.087;IV de Coquimbo;Illapel;1972-12-22
439;2;Western Refining Logistics, LP;-499.530.586;-7.342.275.068;Metropolitana de Santiago;San Pedro;1966-03-20
440;3;Sierra Oncology, Inc.;-4.285.190.241;-7.180.551.464;II de Antofagasta;Antofagasta;1994-08-22
441;1;Dos Amigos;-5.430.040.972;-711.931.064;III de Atacama;Freirina;1973-08-01
442;3;Abeona Therapeutics Inc.;-467.224.442;-7.081.052.512;II de Antofagasta;Calama;1969-02-18
443;3;Merus Labs International Inc.;-2.461.575.569;-7.293.952.133;II de Antofagasta;Tocopilla;1976-10-05
444;2;First Trust Multi-Asset Diversified Income Index Fund;-5.429.723.561;-7.004.511.056;II de Antofagasta;Tocopilla;2007-04-07
445;3;Imax Corporation;-531.657.583;-7.194.698.392;III de Atacama;Freirina;1968-08-01
446;3;H&R Block, Inc.;-3.042.590.561;-6.863.653.997;II de Antofagasta;Taltal;1986-06-11
447;3;Northrop Grumman Corporation;-366.766.771;-7.389.200.318;V de Valparaiso;Concon;1951-04-16
448;3;Diana Shipping inc.;-4.548.591.239;-7.096.372.918;XV de Arica y Parinacota;Camarones;2010-02-25
449;3;Spark Energy, Inc.;-1.822.174.509;-6.920.838.488;I de Tarapaca;Pozo Almonte;1987-07-01
