Rid;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
4362;mal olor;1.86;2005-05-05;VIII del Bio-Bio;Tome
4363;radiacion;12.08;1975-01-08;VI del Libertador General Bernardo O'Higgins;Coltauco
4364;radiacion;18.07;2013-01-18;XVI de Ñuble;Pinto
4365;radiacion;29.34;2015-12-11;VI del Libertador General Bernardo O'Higgins;Doñihue
4366;contaminacion de suelo;26.47;1987-06-12;X de Los Lagos;San Juan de la Costa
4367;contaminacion de suelo;12.26;2009-11-21;X de Los Lagos;Palena
4368;ruido;37.82;2004-02-28;VIII del Bio-Bio;Cabrero
4369;contaminacion del aire;34.72;1975-01-10;X de Los Lagos;Puerto Varas
4370;ruido;40.76;1999-08-03;XI de Aysen del General Carlos Ibañez del Campo;Coihaique
4371;contaminacion de suelo;31.72;2009-12-18;VI del Libertador General Bernardo O'Higgins;Peumo
4372;plagas;9.62;1991-12-18;V de Valparaiso;Valparaiso
4373;destruccion del medio ambiente;17.13;2017-05-01;IX de La Araucania;Collipulli
4374;contaminacion del aire;14.7;2014-12-27;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
4375;ruido;44.36;1994-11-24;VI del Libertador General Bernardo O'Higgins;Codegua
4376;contaminacion de suelo;47.73;2013-10-22;Metropolitana de Santiago;La Reina
4377;mal olor;31.18;2003-09-17;XVI de Ñuble;Treguaco
4378;destruccion del medio ambiente;15.25;2006-07-14;V de Valparaiso;Cabildo
4379;ruido;40.18;1986-12-07;VII del Maule;Retiro
4380;ruido;3.09;2008-06-02;Metropolitana de Santiago;Talagante
4381;ruido;41.32;2013-01-21;IX de La Araucania;Curacautin
4382;radiacion;10.24;2001-05-27;V de Valparaiso;San Esteban
4383;contaminacion de la cadena trofica;43.99;2015-07-10;VI del Libertador General Bernardo O'Higgins;Palmilla
4384;plagas;28.32;2015-03-12;IX de La Araucania;Ercilla
4385;contaminacion de agua;25.41;2009-01-30;VII del Maule;Empedrado
4386;contaminacion del aire;24.05;1989-11-23;Metropolitana de Santiago;Melipilla
4387;contaminacion del aire;49.08;2003-05-17;Metropolitana de Santiago;Lampa
4388;contaminacion de agua;49.43;1983-06-29;VI del Libertador General Bernardo O'Higgins;Marchihue
4389;contaminacion de agua;42.66;1979-12-11;I de Tarapaca;Colchane
4390;contaminacion de agua;29.5;2009-10-01;XVI de Ñuble;Yungay
4391;contaminacion de la cadena trofica;4.13;2014-01-07;X de Los Lagos;Quemchi
4392;contaminacion de agua;29.51;2018-05-04;VIII del Bio-Bio;Contulmo
4393;destruccion del medio ambiente;7.7;1979-03-28;XIV de Los Rios;Mafil
4394;contaminacion de suelo;7.5;2002-04-15;X de Los Lagos;Puerto Varas
4395;mal olor;33.76;2002-10-30;X de Los Lagos;Osorno
4396;plagas;32.8;1993-04-30;I de Tarapaca;Alto Hospicio
4397;mal olor;0.01;2016-09-25;IX de La Araucania;Gorbea
4398;contaminacion de la cadena trofica;24.27;1988-08-06;XII de Magallanes y de La Antartica Chilena;Natales
4399;contaminacion de la cadena trofica;40.5;2016-05-04;VI del Libertador General Bernardo O'Higgins;Chepica
4400;ruido;14.45;1987-06-20;III de Atacama;Huasco
4401;destruccion del medio ambiente;36.9;2016-04-04;Metropolitana de Santiago;Melipilla
4402;contaminacion de la cadena trofica;25.88;1974-10-30;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez
4403;plagas;38.14;2007-09-21;IX de La Araucania;Lautaro
4404;contaminacion de agua;45.04;2006-03-21;VII del Maule;Rauco
4405;contaminacion de suelo;49.78;2013-11-19;V de Valparaiso;Papudo
4406;contaminacion de la cadena trofica;8.99;2013-04-09;V de Valparaiso;Llaillay
4407;destruccion del medio ambiente;35.56;2006-01-10;XII de Magallanes y de La Antartica Chilena;Timaukel
4408;contaminacion del aire;15.34;2017-05-22;XIV de Los Rios;Lago Ranco
4409;contaminacion de la cadena trofica;16.8;2012-08-18;IX de La Araucania;Carahue
4410;contaminacion de la cadena trofica;49.68;2005-05-02;XVI de Ñuble;San Fabian
4411;mal olor;9.45;2012-12-16;V de Valparaiso;Viña del Mar
4412;contaminacion del aire;22.03;2019-06-03;II de Antofagasta;Antofagasta
4413;contaminacion de suelo;46.25;1986-06-06;X de Los Lagos;Fresia
4414;contaminacion de agua;49.27;1995-06-01;XV de Arica y Parinacota;Arica
4415;contaminacion de suelo;20.22;1998-01-28;III de Atacama;Caldera
4416;contaminacion de suelo;2.09;1964-10-26;VIII del Bio-Bio;Los Angeles
4417;plagas;1.25;2002-07-18;XII de Magallanes y de La Antartica Chilena;Natales
4418;mal olor;4.21;1997-04-24;X de Los Lagos;Palena
4419;contaminacion de suelo;47.15;1956-04-20;VIII del Bio-Bio;Hualqui
4420;radiacion;40.63;2017-04-19;V de Valparaiso;Papudo
4421;ruido;49.22;1990-03-05;VII del Maule;Empedrado
4422;contaminacion de agua;47.39;2009-02-20;XIV de Los Rios;Los Lagos
4423;ruido;2.03;2003-05-15;XII de Magallanes y de La Antartica Chilena;San Gregorio
4424;radiacion;16.59;1991-10-31;Metropolitana de Santiago;Estacion Central
4425;plagas;33.14;2005-10-28;V de Valparaiso;Concon
4426;contaminacion de agua;29.06;2016-05-15;Metropolitana de Santiago;Isla de Maipo
4427;contaminacion del aire;18.24;2011-08-16;VII del Maule;Teno
4428;radiacion;4.37;2003-07-08;XII de Magallanes y de La Antartica Chilena;Rio Verde
4429;radiacion;33.19;1991-04-09;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
4430;plagas;30.62;2014-10-05;XI de Aysen del General Carlos Ibañez del Campo;Coihaique
4431;destruccion del medio ambiente;11.25;2015-01-28;VI del Libertador General Bernardo O'Higgins;San Fernando
4432;mal olor;33.75;2014-10-14;IX de La Araucania;Gorbea
4433;destruccion del medio ambiente;8.92;2003-08-05;XV de Arica y Parinacota;Putre
4434;destruccion del medio ambiente;30.61;2011-05-04;VI del Libertador General Bernardo O'Higgins;Codegua
4435;mal olor;29.66;2016-04-29;VIII del Bio-Bio;Florida
4436;plagas;33.25;2011-06-28;VII del Maule;San Clemente
4437;contaminacion de agua;10.07;1993-09-02;IX de La Araucania;Galvarino
4438;ruido;8.49;2008-07-28;Metropolitana de Santiago;La Reina
4439;radiacion;46.12;1999-09-19;V de Valparaiso;La Cruz
4440;mal olor;25.34;1984-10-19;Metropolitana de Santiago;Recoleta
4441;ruido;1.42;1983-07-28;X de Los Lagos;Queilen
4442;ruido;39.23;1973-12-01;VI del Libertador General Bernardo O'Higgins;Malloa
4443;contaminacion de la cadena trofica;24.87;2017-04-25;IX de La Araucania;Pitrufquen
4444;mal olor;20.17;2014-12-24;V de Valparaiso;Nogales
4445;contaminacion de agua;19.41;1981-04-23;IX de La Araucania;Renaico
4446;ruido;37.75;2015-01-07;IV de Coquimbo;Los Vilos
4447;ruido;33.92;2018-12-23;VI del Libertador General Bernardo O'Higgins;Machali
4448;contaminacion de agua;1.18;2018-06-26;VIII del Bio-Bio;Lebu
4449;contaminacion de suelo;48.72;2010-09-11;Metropolitana de Santiago;Lo Barnechea
4450;radiacion;10.91;1994-10-23;VII del Maule;Retiro
4451;contaminacion del aire;32.54;1970-10-01;X de Los Lagos;San Juan de la Costa
4452;contaminacion de agua;29.48;1991-06-24;V de Valparaiso;Putaendo
4453;contaminacion de la cadena trofica;15.53;2011-10-10;V de Valparaiso;Santa Maria
4454;contaminacion de suelo;46.53;2016-10-08;V de Valparaiso;Concon
4455;radiacion;26.45;2009-03-11;V de Valparaiso;Santo Domingo
4456;contaminacion de suelo;41.52;1986-11-29;VII del Maule;Maule
4457;contaminacion de la cadena trofica;45.96;1987-01-10;IX de La Araucania;Gorbea
4458;destruccion del medio ambiente;34.35;2015-11-03;X de Los Lagos;Curaco de Velez
4459;mal olor;48.97;2004-11-05;I de Tarapaca;Pica
4460;radiacion;43.98;2004-01-30;VIII del Bio-Bio;Arauco
4461;contaminacion de suelo;8.6;2009-05-16;XVI de Ñuble;Bulnes
4462;contaminacion de la cadena trofica;28.35;1970-07-21;IX de La Araucania;Tolten
4463;contaminacion de suelo;45.45;2001-01-10;X de Los Lagos;Hualaihue
4464;contaminacion de agua;5.8;2017-03-05;Metropolitana de Santiago;San Pedro
4465;contaminacion de agua;21.96;1995-08-12;VI del Libertador General Bernardo O'Higgins;Lolol
4466;plagas;20.34;1970-06-09;VIII del Bio-Bio;Antuco
4467;mal olor;14.4;2019-07-19;II de Antofagasta;Taltal
4468;destruccion del medio ambiente;38.49;2015-07-03;VIII del Bio-Bio;Quilleco
4469;destruccion del medio ambiente;30;1993-07-03;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
4470;contaminacion de agua;28.47;1981-03-01;IX de La Araucania;Cholchol
4471;mal olor;11.67;1959-02-12;IV de Coquimbo;Rio Hurtado
4472;contaminacion de agua;26.58;2002-06-12;X de Los Lagos;Puerto Montt
4473;contaminacion de la cadena trofica;43.53;1984-06-17;VI del Libertador General Bernardo O'Higgins;Marchihue
4474;contaminacion de agua;10.7;2002-07-26;V de Valparaiso;Cartagena
4475;contaminacion de agua;32.93;2013-01-15;XI de Aysen del General Carlos Ibañez del Campo;Lago Verde
4476;mal olor;10.7;2010-11-04;XVI de Ñuble;Coihueco
4477;destruccion del medio ambiente;39.35;2003-10-13;X de Los Lagos;Hualaihue
4478;destruccion del medio ambiente;27.08;2010-12-22;X de Los Lagos;Hualaihue
4479;contaminacion del aire;43.31;2014-03-18;IX de La Araucania;Collipulli
4480;radiacion;48.26;2018-12-20;VIII del Bio-Bio;Los Alamos
4481;contaminacion de suelo;4.31;2017-03-13;IX de La Araucania;Curacautin
4482;ruido;8.44;2016-07-09;VII del Maule;Empedrado
4483;contaminacion de la cadena trofica;34.37;1998-01-05;IX de La Araucania;Lumaco
4484;radiacion;3.13;2019-05-27;VII del Maule;Curico
4485;contaminacion de suelo;22.67;2005-01-28;X de Los Lagos;Castro
4486;plagas;3.54;2002-10-07;IV de Coquimbo;Monte Patria
4487;plagas;6.26;2005-10-12;IX de La Araucania;Traiguen
4488;plagas;46.96;1995-05-17;Metropolitana de Santiago;Macul
4489;contaminacion de suelo;10.86;1982-11-16;XVI de Ñuble;Ranquil
4490;contaminacion de la cadena trofica;6.44;2010-08-03;XIV de Los Rios;Valdivia
4491;contaminacion de la cadena trofica;33.45;2009-12-14;VIII del Bio-Bio;Tome
4492;contaminacion de la cadena trofica;7.66;1992-07-07;V de Valparaiso;Catemu
4493;ruido;15.31;1979-11-11;VIII del Bio-Bio;Mulchen
4494;plagas;31.04;2000-10-13;VI del Libertador General Bernardo O'Higgins;Pichilemu
4495;mal olor;28.21;2005-05-20;IX de La Araucania;Ercilla
4496;contaminacion de suelo;16.59;2013-09-01;VII del Maule;Curepto
4497;mal olor;0.61;1992-06-27;V de Valparaiso;San Antonio
4498;contaminacion de suelo;38.54;2004-09-25;IX de La Araucania;Temuco
4499;ruido;21.06;2010-10-17;VIII del Bio-Bio;San Rosendo
4500;contaminacion de suelo;22.77;2016-04-11;I de Tarapaca;Iquique
4501;mal olor;24.8;1999-09-28;III de Atacama;Caldera
4502;radiacion;24.03;1997-06-16;VI del Libertador General Bernardo O'Higgins;Pichilemu
4503;mal olor;30.68;2017-06-18;I de Tarapaca;Alto Hospicio
4504;contaminacion de la cadena trofica;38.17;2003-09-04;II de Antofagasta;Mejillones
4505;contaminacion de la cadena trofica;6.53;1992-06-23;X de Los Lagos;Llanquihue
4506;contaminacion de la cadena trofica;34.35;2017-01-11;Metropolitana de Santiago;Lampa
4507;contaminacion de agua;18.02;2004-02-21;XI de Aysen del General Carlos Ibañez del Campo;Lago Verde
4508;ruido;49.9;2003-03-04;IV de Coquimbo;Salamanca
4509;destruccion del medio ambiente;11.23;2008-05-15;II de Antofagasta;Taltal
4510;contaminacion de suelo;4.58;2015-11-27;Metropolitana de Santiago;Colina
4511;contaminacion de suelo;0.53;1985-12-09;IX de La Araucania;Vilcun
4512;destruccion del medio ambiente;5.43;1982-02-07;VI del Libertador General Bernardo O'Higgins;Pichidegua
4513;destruccion del medio ambiente;1.51;2005-06-06;IX de La Araucania;Gorbea
4514;destruccion del medio ambiente;3.43;2011-06-15;VI del Libertador General Bernardo O'Higgins;Litueche
4515;plagas;8.46;1994-05-25;X de Los Lagos;Quemchi
4516;contaminacion de suelo;16.79;2000-05-11;VIII del Bio-Bio;Tome
4517;contaminacion de suelo;41.65;2010-12-12;VI del Libertador General Bernardo O'Higgins;Mostazal
4518;ruido;30.36;2019-03-31;XVI de Ñuble;Yungay
4519;radiacion;12.47;1972-11-23;VII del Maule;Maule
4520;contaminacion de suelo;11.5;2004-06-23;VIII del Bio-Bio;Penco
4521;contaminacion de suelo;21.88;2018-08-24;Metropolitana de Santiago;San Bernardo
4522;ruido;23.18;1996-10-24;Metropolitana de Santiago;La Pintana
4523;destruccion del medio ambiente;6.47;1976-11-09;V de Valparaiso;Santa Maria
4524;destruccion del medio ambiente;8.52;2011-07-19;Metropolitana de Santiago;Lo Espejo
4525;contaminacion de suelo;1.44;1982-04-25;VII del Maule;Linares
4526;destruccion del medio ambiente;46.78;1969-11-24;X de Los Lagos;Rio Negro
4527;contaminacion de la cadena trofica;34.13;1997-05-03;V de Valparaiso;Putaendo
4528;contaminacion del aire;3.23;2009-09-17;VIII del Bio-Bio;Lebu
4529;contaminacion de la cadena trofica;5.56;2006-03-04;X de Los Lagos;Chonchi
4530;plagas;25.81;1994-10-25;Metropolitana de Santiago;Ñuñoa
4531;ruido;6.24;2013-02-17;IV de Coquimbo;Illapel
4532;contaminacion de agua;6.92;1998-12-25;V de Valparaiso;Papudo
4533;radiacion;20.76;2019-04-23;VI del Libertador General Bernardo O'Higgins;La Estrella
4534;contaminacion de la cadena trofica;21.47;1984-05-11;VI del Libertador General Bernardo O'Higgins;Placilla
4535;contaminacion del aire;43.22;1956-03-12;VIII del Bio-Bio;Santa Barbara
4536;contaminacion de suelo;7.11;2013-05-03;VI del Libertador General Bernardo O'Higgins;Chimbarongo
4537;radiacion;1.88;1983-03-27;XIV de Los Rios;Corral
4538;contaminacion de suelo;19.6;2006-11-10;Metropolitana de Santiago;Providencia
4539;ruido;31.85;2019-04-06;IX de La Araucania;Victoria
4540;radiacion;30.99;2018-10-07;VIII del Bio-Bio;Cabrero
4541;ruido;17.19;1959-11-19;III de Atacama;Tierra Amarilla
4542;radiacion;31.49;2015-11-26;XIV de Los Rios;La Union
4543;plagas;18.74;2018-02-07;I de Tarapaca;Iquique
4544;destruccion del medio ambiente;48.84;2001-08-17;XII de Magallanes y de La Antartica Chilena;San Gregorio
4545;contaminacion de la cadena trofica;43.19;2017-12-06;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
4546;destruccion del medio ambiente;8.93;1984-01-24;VI del Libertador General Bernardo O'Higgins;Pumanque
4547;mal olor;48.25;2005-05-30;Metropolitana de Santiago;Pedro Aguirre Cerda
4548;ruido;13.31;2013-02-04;II de Antofagasta;Mejillones
4549;mal olor;31.11;1985-09-18;V de Valparaiso;Quillota
4550;destruccion del medio ambiente;40.8;2002-09-01;VI del Libertador General Bernardo O'Higgins;Pichidegua
4551;contaminacion de agua;12.45;2000-02-02;V de Valparaiso;Quintero
4552;ruido;17.26;1956-07-21;IV de Coquimbo;Punitaqui
4553;plagas;12.32;1988-10-25;IV de Coquimbo;La Serena
4554;contaminacion de suelo;1.36;2015-04-10;XVI de Ñuble;Pemuco
4555;radiacion;6.37;1983-07-03;VIII del Bio-Bio;Lota
4556;ruido;1.88;1986-05-12;V de Valparaiso;San Felipe
4557;destruccion del medio ambiente;18.88;1989-08-04;Metropolitana de Santiago;Quinta Normal
4558;contaminacion de agua;15.38;2018-10-22;XII de Magallanes y de La Antartica Chilena;Antartica
4559;plagas;44.2;2006-04-13;IV de Coquimbo;La Higuera
4560;radiacion;30.52;2012-06-26;V de Valparaiso;La Ligua
4561;contaminacion de la cadena trofica;21.73;2018-06-28;X de Los Lagos;Quinchao
4562;ruido;16.53;2019-02-24;IX de La Araucania;Pitrufquen
4563;plagas;14.07;2011-04-02;V de Valparaiso;Los Andes
4564;contaminacion de agua;37.41;2018-11-04;VII del Maule;Pencahue
4565;contaminacion de agua;42.32;2000-02-07;I de Tarapaca;Colchane
4566;plagas;47.54;2011-10-26;X de Los Lagos;Llanquihue
4567;contaminacion de la cadena trofica;39.62;2006-11-21;X de Los Lagos;Curaco de Velez
4568;destruccion del medio ambiente;0.97;1992-07-06;VI del Libertador General Bernardo O'Higgins;Litueche
4569;destruccion del medio ambiente;39.1;2017-12-17;X de Los Lagos;Puyehue
4570;radiacion;28.29;1990-03-22;Metropolitana de Santiago;Pedro Aguirre Cerda
4571;ruido;44.06;2019-04-21;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
4572;destruccion del medio ambiente;8.97;1975-08-08;Metropolitana de Santiago;La Granja
4573;contaminacion de la cadena trofica;18.9;2019-07-08;IX de La Araucania;Curarrehue
4574;contaminacion de suelo;23.72;2015-10-25;XVI de Ñuble;Ninhue
4575;destruccion del medio ambiente;47.72;2019-04-06;Metropolitana de Santiago;El Bosque
4576;contaminacion de la cadena trofica;23.03;2011-04-09;I de Tarapaca;Iquique
4577;contaminacion de suelo;24.45;1991-06-21;IX de La Araucania;Curacautin
4578;contaminacion de agua;46.5;2019-04-10;Metropolitana de Santiago;Peñaflor
4579;contaminacion de suelo;37.81;2014-10-26;I de Tarapaca;Alto Hospicio
4580;radiacion;5.4;2002-10-11;II de Antofagasta;Taltal
4581;plagas;17.46;1988-07-27;X de Los Lagos;Puerto Varas
4582;contaminacion de suelo;41.29;2011-09-07;VI del Libertador General Bernardo O'Higgins;San Vicente
4583;plagas;45.26;2008-03-04;XII de Magallanes y de La Antartica Chilena;San Gregorio
4584;contaminacion del aire;42.39;2014-04-23;Metropolitana de Santiago;Melipilla
4585;contaminacion de suelo;2.02;2003-10-20;XVI de Ñuble;Bulnes
4586;contaminacion de suelo;15.1;2001-12-31;Metropolitana de Santiago;Maipu
4587;mal olor;12.44;1997-09-09;IV de Coquimbo;Paiguano
4588;destruccion del medio ambiente;44.86;2013-03-24;VI del Libertador General Bernardo O'Higgins;Chimbarongo
4589;contaminacion de agua;18.03;1961-06-28;VIII del Bio-Bio;Talcahuano
4590;contaminacion de suelo;34.05;2019-07-24;VI del Libertador General Bernardo O'Higgins;Mostazal
4591;contaminacion de la cadena trofica;2.8;1976-09-23;VIII del Bio-Bio;Mulchen
4592;ruido;28.1;2015-10-29;VII del Maule;Pelluhue
4593;contaminacion de la cadena trofica;34.85;2007-06-25;Metropolitana de Santiago;Recoleta
4594;mal olor;38.37;2010-12-23;Metropolitana de Santiago;Colina
4595;contaminacion de agua;15.15;2009-08-11;VIII del Bio-Bio;Alto Biobio
4596;destruccion del medio ambiente;44.82;2019-03-30;Metropolitana de Santiago;Melipilla
4597;contaminacion de la cadena trofica;23.51;1978-08-10;IX de La Araucania;Cholchol
4598;contaminacion del aire;25.1;1998-07-06;VI del Libertador General Bernardo O'Higgins;Requinoa
4599;contaminacion de suelo;41.01;2009-04-26;X de Los Lagos;Puerto Montt
4600;contaminacion de suelo;40.92;2015-08-25;XVI de Ñuble;Quillon
4601;contaminacion de agua;17.17;2011-09-08;XII de Magallanes y de La Antartica Chilena;Cabo de Hornos
4602;ruido;27.18;2018-03-14;VIII del Bio-Bio;Hualqui
4603;radiacion;12.72;2017-10-18;VI del Libertador General Bernardo O'Higgins;Codegua
4604;contaminacion del aire;26.38;2002-09-29;IX de La Araucania;Nueva Imperial
4605;radiacion;5.95;2010-09-14;V de Valparaiso;San Antonio
4606;ruido;40.02;2019-07-20;VIII del Bio-Bio;Talcahuano
4607;contaminacion de la cadena trofica;21.7;1998-06-09;X de Los Lagos;Quinchao
4608;ruido;1.44;1990-01-19;Metropolitana de Santiago;San Pedro
4609;ruido;25.93;2009-07-04;VI del Libertador General Bernardo O'Higgins;Las Cabras
4610;mal olor;18.83;2015-04-02;Metropolitana de Santiago;Talagante
4611;radiacion;28.87;1983-11-10;V de Valparaiso;Valparaiso
4612;contaminacion de suelo;45.25;2012-11-25;Metropolitana de Santiago;Huechuraba
4613;plagas;43.45;1996-03-17;VI del Libertador General Bernardo O'Higgins;Las Cabras
4614;radiacion;28.57;2018-11-15;V de Valparaiso;Panquehue
4615;contaminacion de suelo;8.98;1961-11-19;VIII del Bio-Bio;Chiguayante
4616;contaminacion del aire;33.4;2011-03-18;V de Valparaiso;Petorca
4617;contaminacion de agua;44.22;1996-09-27;VIII del Bio-Bio;Quilaco
4618;plagas;33.47;2016-03-10;VI del Libertador General Bernardo O'Higgins;Graneros
4619;contaminacion del aire;0.61;2012-01-08;VII del Maule;Talca
4620;contaminacion de la cadena trofica;15.15;1976-03-13;VIII del Bio-Bio;Santa Barbara
4621;radiacion;32.22;2002-02-21;VII del Maule;Retiro
4622;ruido;31.51;2002-01-07;V de Valparaiso;El Quisco
4623;radiacion;32.1;1998-04-23;IV de Coquimbo;Monte Patria
4624;contaminacion de agua;25.57;2007-09-22;V de Valparaiso;La Cruz
4625;radiacion;4.33;2012-04-16;XII de Magallanes y de La Antartica Chilena;Punta Arenas
4626;plagas;23.57;1982-12-29;XVI de Ñuble;Bulnes
4627;ruido;5.48;2018-01-09;Metropolitana de Santiago;Lo Espejo
4628;ruido;36.3;1984-04-29;X de Los Lagos;Calbuco
4629;contaminacion de agua;22.72;2001-02-24;V de Valparaiso;Quintero
4630;plagas;34.6;2011-02-22;X de Los Lagos;San Pablo
4631;contaminacion del aire;19.79;2008-08-22;X de Los Lagos;Maullin
4632;mal olor;18.04;1984-11-18;VI del Libertador General Bernardo O'Higgins;Pichidegua
4633;ruido;25.61;2007-09-28;VIII del Bio-Bio;Los Alamos
4634;destruccion del medio ambiente;14.28;2009-07-18;VI del Libertador General Bernardo O'Higgins;Nancagua
4635;contaminacion de agua;47;2000-12-28;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
4636;plagas;20.7;1970-05-13;V de Valparaiso;Llaillay
4637;destruccion del medio ambiente;7.83;2005-10-12;VI del Libertador General Bernardo O'Higgins;Olivar
4638;contaminacion de suelo;38.77;2004-06-04;IX de La Araucania;Pucon
4639;ruido;22.61;1960-04-17;IV de Coquimbo;Los Vilos
4640;contaminacion de suelo;22.05;1990-12-17;Metropolitana de Santiago;Alhue
4641;ruido;26.57;2019-05-10;XVI de Ñuble;Coelemu
4642;contaminacion de agua;31.95;1979-09-02;III de Atacama;Alto del Carmen
4643;ruido;39.49;2014-12-10;IX de La Araucania;Lonquimay
4644;contaminacion de suelo;32.68;2013-01-09;Metropolitana de Santiago;Cerrillos
4645;contaminacion de agua;36.16;1988-05-21;XII de Magallanes y de La Antartica Chilena;Punta Arenas
4646;contaminacion de suelo;36.74;2013-05-15;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
4647;radiacion;39.79;1982-11-20;V de Valparaiso;Concon
4648;radiacion;31.13;2006-01-04;X de Los Lagos;Dalcahue
4649;plagas;2.91;2005-08-20;VIII del Bio-Bio;Talcahuano
4650;destruccion del medio ambiente;35.42;1983-02-13;II de Antofagasta;Sierra Gorda
4651;plagas;37.53;1995-10-11;Metropolitana de Santiago;Melipilla
4652;mal olor;42.3;2011-02-08;VII del Maule;Chanco
4653;contaminacion del aire;27.24;1991-08-15;VI del Libertador General Bernardo O'Higgins;Rengo
4654;contaminacion del aire;21.36;2005-05-18;VI del Libertador General Bernardo O'Higgins;Pichilemu
4655;contaminacion del aire;31.6;2012-05-25;V de Valparaiso;San Felipe
4656;radiacion;25.08;2011-09-17;IX de La Araucania;Loncoche
4657;contaminacion de suelo;12.62;2015-03-16;IX de La Araucania;Los Sauces
4658;radiacion;29.08;1990-05-09;X de Los Lagos;Purranque
4659;radiacion;48.7;1991-07-27;II de Antofagasta;Ollague
4660;contaminacion del aire;0.11;1992-10-03;X de Los Lagos;Queilen
4661;radiacion;42.83;2008-08-19;VI del Libertador General Bernardo O'Higgins;Coltauco
4662;ruido;6.33;2010-10-25;V de Valparaiso;Puchuncavi
4663;contaminacion de la cadena trofica;5.41;2017-01-12;II de Antofagasta;Taltal
4664;contaminacion de suelo;44.27;2001-06-10;VIII del Bio-Bio;Curanilahue
4665;contaminacion de agua;23.45;1968-01-11;V de Valparaiso;Los Andes
4666;contaminacion de suelo;5.55;1981-08-17;V de Valparaiso;Viña del Mar
4667;mal olor;1.61;1988-11-24;XIV de Los Rios;Lago Ranco
4668;contaminacion del aire;21.73;2009-09-20;VIII del Bio-Bio;Tucapel
4669;contaminacion de la cadena trofica;20.65;2003-01-21;Metropolitana de Santiago;Vitacura
4670;mal olor;13.36;1987-11-28;Metropolitana de Santiago;San Jose de Maipo
4671;radiacion;15.34;1975-02-12;V de Valparaiso;El Quisco
4672;mal olor;34.42;1958-08-30;IX de La Araucania;Pitrufquen
4673;radiacion;45.64;2019-05-09;II de Antofagasta;Mejillones
4674;mal olor;25.44;2018-05-19;IX de La Araucania;Curarrehue
4675;contaminacion de la cadena trofica;36.74;1993-01-08;VIII del Bio-Bio;Quilleco
4676;contaminacion de agua;29.27;2017-11-27;VI del Libertador General Bernardo O'Higgins;Placilla
4677;contaminacion del aire;26.56;2005-12-29;VII del Maule;Chanco
4678;ruido;25.23;2012-07-27;IX de La Araucania;Carahue
4679;plagas;31.63;2010-02-07;X de Los Lagos;Maullin
4680;radiacion;4.8;2006-05-21;XVI de Ñuble;Chillan
4681;contaminacion de agua;33.46;1990-07-20;XI de Aysen del General Carlos Ibañez del Campo;Guaitecas
4682;contaminacion del aire;8.66;2008-08-04;Metropolitana de Santiago;La Reina
4683;plagas;32.07;1991-01-14;Metropolitana de Santiago;Estacion Central
4684;ruido;4.61;2003-09-28;IX de La Araucania;Temuco
4685;contaminacion de suelo;25.66;2018-09-03;XIV de Los Rios;Corral
4686;radiacion;24.67;2015-07-27;VII del Maule;Curico
4687;contaminacion de suelo;0.45;1954-05-07;IX de La Araucania;Victoria
4688;radiacion;27.1;2006-03-31;X de Los Lagos;Los Muermos
4689;mal olor;30.07;2004-05-07;VI del Libertador General Bernardo O'Higgins;Paredones
4690;plagas;42.33;2001-06-25;V de Valparaiso;Algarrobo
4691;plagas;15.51;1982-08-03;VI del Libertador General Bernardo O'Higgins;Coinco
4692;contaminacion de agua;21.68;2012-10-05;X de Los Lagos;Puyehue
4693;contaminacion de la cadena trofica;24.41;2016-03-07;Metropolitana de Santiago;San Ramon
4694;contaminacion de agua;37.8;2019-01-22;VII del Maule;Linares
4695;radiacion;16.54;1999-09-19;VIII del Bio-Bio;Antuco
4696;radiacion;32.89;2013-06-27;IX de La Araucania;Ercilla
4697;contaminacion de agua;42.92;1996-03-21;Metropolitana de Santiago;Estacion Central
4698;contaminacion de la cadena trofica;47.46;2013-12-13;Metropolitana de Santiago;Pudahuel
4699;contaminacion de suelo;38.18;2017-09-29;X de Los Lagos;Quemchi
4700;contaminacion del aire;40.44;1999-07-21;VI del Libertador General Bernardo O'Higgins;Pichidegua
4701;contaminacion de la cadena trofica;33.07;2018-03-12;V de Valparaiso;Quillota
4702;contaminacion de agua;49.61;2018-12-22;IX de La Araucania;Pucon
4703;mal olor;22.16;2010-08-13;V de Valparaiso;Santo Domingo
4704;plagas;13.78;2019-01-08;Metropolitana de Santiago;La Florida
4705;destruccion del medio ambiente;17.08;2012-08-01;XI de Aysen del General Carlos Ibañez del Campo;O'Higgins
4706;destruccion del medio ambiente;12.1;2018-07-29;IX de La Araucania;Puren
4707;contaminacion de la cadena trofica;34.28;1985-09-04;V de Valparaiso;Concon
4708;contaminacion de agua;37.97;1996-11-15;III de Atacama;Caldera
4709;contaminacion de la cadena trofica;34.9;1972-11-14;V de Valparaiso;Isla de Pascua
