latitud;longitud;region;comuna
-2.299.538.727;-6.927.296.898;I de Tarapaca;Iquique
-3.339.540.661;-7.061.147.918;II de Antofagasta;Sierra Gorda
-5.191.507.329;-7.082.429.759;III de Atacama;Freirina
-4.665.052.586;-6.974.814.838;II de Antofagasta;Mejillones
-3.201.134.156;-6.905.264.329;I de Tarapaca;Huara
-4.329.197.132;-7.195.914.899;II de Antofagasta;Antofagasta
-5.006.681.348;-71.288.365;III de Atacama;Alto del Carmen
-3.562.259.333;-7.160.991.232;II de Antofagasta;Maria Elena
-4.983.601.833;-7.112.592.996;III de Atacama;Alto del Carmen
-2.938.267.045;-7.083.420.453;III de Atacama;Freirina
-3.921.827.739;-7.102.138.421;II de Antofagasta;San Pedro de Atacama
-5.057.327.772;-6.891.799.663;I de Tarapaca;Pozo Almonte
-3.027.265.127;-7.139.812.945;III de Atacama;Freirina
-5.281.861.719;-7.437.026.443;V de Valparaiso;Puchuncavi
-5.089.461.916;-7.077.945.522;I de Tarapaca;Colchane
-4.732.142.188;-7.289.968.237;Metropolitana de Santiago;El Monte
-4.592.687.329;-7.144.643.519;III de Atacama;Diego de Almagro
-3.991.479.342;-7.071.904.433;III de Atacama;Caldera
-3.072.064.609;-6.919.189.683;II de Antofagasta;Ollague
-3.482.049.098;-7.376.922.988;XII de Magallanes y de la Antartica Chilena;Timaukel
-2.909.117.012;-6.889.030.305;II de Antofagasta;San Pedro de Atacama
-4.795.224.885;-72.625.789;III de Atacama;Vallenar
-4.240.115.957;-6.927.629.579;II de Antofagasta;San Pedro de Atacama
-5.285.135.542;-7.164.256.207;IV de Coquimbo;Andacollo
-3.586.420.182;-7.051.754.931;II de Antofagasta;Calama
-4.748.875.104;-7.210.622.211;Metropolitana de Santiago;El Monte
-1.850.708.785;-7.002.931.389;III de Atacama;Huasco
-3.742.139.201;-7.482.919.835;XIV de Los Rios;Rio Bueno
-3.402.539.502;-6.921.071.103;II de Antofagasta;Sierra Gorda
-2.298.723.402;-7.314.125.365;XII de Magallanes y de la Antartica Chilena;Rio Verde
-5.065.226.007;-7.276.420.235;XII de Magallanes y de la Antartica Chilena;Laguna Blanca
-3.475.875.536;-7.191.521.087;IV de Coquimbo;Illapel
-499.530.586;-7.342.275.068;Metropolitana de Santiago;San Pedro
-4.285.190.241;-7.180.551.464;II de Antofagasta;Antofagasta
-5.430.040.972;-711.931.064;III de Atacama;Freirina
-467.224.442;-7.081.052.512;II de Antofagasta;Calama
-2.461.575.569;-7.293.952.133;II de Antofagasta;Tocopilla
-5.429.723.561;-7.004.511.056;II de Antofagasta;Tocopilla
-531.657.583;-7.194.698.392;III de Atacama;Freirina
-3.042.590.561;-6.863.653.997;II de Antofagasta;Taltal
-366.766.771;-7.389.200.318;V de Valparaiso;Concon
-4.548.591.239;-7.096.372.918;XV de Arica y Parinacota;Camarones
-1.822.174.509;-6.920.838.488;I de Tarapaca;Pozo Almonte
