numero;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
80574-38137-OF;plagas;16;09-08-2002;X de Los Lagos;Puerto Octay
49710-78516-DM;contaminacion del aire;27.41;27-10-1958;Metropolitana de Santiago;Ñuñoa
81959-32339-NO;ruido;6.19;22-04-2006;V de Valparaiso;Rinconada
18924-85253-IB;contaminacion de suelo;28.2;28-11-2011;VIII del Bio-Bio;Tucapel
99238-72130-NH;contaminacion del aire;37.01;26-06-2004;X de Los Lagos;Castro
25759-33762-BI;contaminacion de agua;46.4;13-04-1999;IV de Coquimbo;Illapel
78234-9518-IM;ruido;8.49;11-08-2016;XVI de Ñuble;Portezuelo
2191-41408-BN;mal olor;49.82;28-11-2018;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez
23073-5391-OI;destruccion del medio ambiente;18.66;07-02-2014;VIII del Bio-Bio;Los Angeles
67499-52561-GO;contaminacion del aire;22.2;14-02-1984;X de Los Lagos;San Juan de la Costa
52632-2518-LJ;radiacion;29.67;25-03-1976;XII de Magallanes y de La Antartica Chilena;Rio Verde
9638-41470-LI;plagas;46.11;29-09-1974;IV de Coquimbo;Ovalle
51473-80646-FK;radiacion;6.6;26-06-2019;XI de Aysen del General Carlos Ibañez del Campo;Tortel
75936-21891-FL;destruccion del medio ambiente;14.78;20-09-2006;Metropolitana de Santiago;San Pedro
3455-32582-MJ;radiacion;36.19;06-12-2018;VII del Maule;Rio Claro
17441-95538-MH;plagas;15.21;22-06-2019;XVI de Ñuble;Cobquecura
64412-2993-JK;destruccion del medio ambiente;13.74;26-02-1994;XVI de Ñuble;Bulnes
77153-28979-GB;contaminacion del aire;43.66;11-09-1972;III de Atacama;Huasco
96164-75227-DE;contaminacion de suelo;45.09;12-07-1973;VIII del Bio-Bio;Nacimiento
33247-54807-DI;contaminacion de suelo;30.23;21-04-1965;XIV de Los Rios;Corral
43815-8479-AK;destruccion del medio ambiente;41.99;24-05-2002;VI del Libertador General Bernardo O'Higgins;Nancagua
32249-41712-KH;radiacion;41.44;01-03-2015;VII del Maule;Constitucion
3033-84726-GI;contaminacion de agua;48.91;01-10-2004;VII del Maule;San Javier
46700-9338-LG;contaminacion de la cadena trofica;10.71;15-11-1983;VI del Libertador General Bernardo O'Higgins;Lolol
72875-21356-EF;ruido;39.15;06-12-1998;IX de La Araucania;Teodoro Schmidt
29037-36902-OH;plagas;20.44;25-08-2019;XI de Aysen del General Carlos Ibañez del Campo;Aisen
17076-15811-BO;destruccion del medio ambiente;5.29;13-05-2017;XIV de Los Rios;Corral
8121-68941-DD;ruido;15.77;27-06-2019;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
46947-37812-BK;contaminacion de agua;46.32;05-04-2016;X de Los Lagos;Chaiten
44940-9957-KG;ruido;47.7;22-07-2000;V de Valparaiso;Putaendo
67139-46278-LM;contaminacion de la cadena trofica;34.23;08-01-2017;XII de Magallanes y de La Antartica Chilena;Porvenir
36421-2998-IA;contaminacion de agua;18.7;19-12-2013;Metropolitana de Santiago;La Reina
4790-24346-IH;ruido;8.08;23-02-2018;VI del Libertador General Bernardo O'Higgins;Santa Cruz
97850-96110-IK;radiacion;26.53;17-02-2018;XVI de Ñuble;Ranquil
8607-21396-AF;contaminacion de suelo;16.29;11-09-2015;Metropolitana de Santiago;Independencia
529-9039-GE;destruccion del medio ambiente;39.92;12-10-2002;IX de La Araucania;Traiguen
46261-9454-KA;contaminacion de agua;4.12;06-02-1987;V de Valparaiso;Algarrobo
2172-92369-JI;contaminacion del aire;49.31;27-07-1991;V de Valparaiso;La Cruz
21499-36013-MN;contaminacion de suelo;43.46;16-10-1994;VII del Maule;Colbun
64830-50334-KA;plagas;0.48;02-09-1999;X de Los Lagos;Hualaihue
48195-13952-DK;ruido;36.53;21-07-2016;VIII del Bio-Bio;San Rosendo
99132-77397-GL;destruccion del medio ambiente;13.62;15-08-1992;VII del Maule;Curepto
82089-23515-KN;contaminacion de la cadena trofica;18.65;21-09-1988;V de Valparaiso;Valparaiso
78627-97918-NB;contaminacion de agua;21.36;01-03-2018;Metropolitana de Santiago;Peñaflor
63792-51296-BN;radiacion;19.14;18-04-1989;IX de La Araucania;Puren
54591-86929-ME;contaminacion del aire;19.98;06-11-2003;VII del Maule;Retiro
84444-85133-FA;contaminacion de suelo;48.72;05-10-1971;VII del Maule;Romeral
8493-75885-EK;plagas;28.33;03-02-1968;VIII del Bio-Bio;San Pedro de la Paz
49610-33325-EJ;contaminacion del aire;42.58;16-08-2002;X de Los Lagos;Calbuco
56201-23704-OE;radiacion;42.09;01-08-2006;IX de La Araucania;Perquenco
69297-78238-IG;contaminacion del aire;42.27;02-03-2019;IX de La Araucania;Pucon
83042-35001-HM;contaminacion de suelo;26.19;30-06-1986;V de Valparaiso;Algarrobo
92542-97760-EM;ruido;33.93;07-12-1981;V de Valparaiso;Panquehue
72077-98367-JG;mal olor;9.24;19-11-1964;VIII del Bio-Bio;Tirua
775-57348-HB;contaminacion del aire;36.27;04-02-2019;VI del Libertador General Bernardo O'Higgins;Marchihue
36342-80472-JK;destruccion del medio ambiente;45.3;16-10-2014;VIII del Bio-Bio;Tucapel
66081-49183-KJ;contaminacion de agua;15.62;04-02-1982;IV de Coquimbo;La Serena
44288-48825-EN;radiacion;24.42;25-10-2014;Metropolitana de Santiago;Cerrillos
32518-60973-GF;destruccion del medio ambiente;26.07;23-12-2006;X de Los Lagos;Dalcahue
54900-47329-AK;contaminacion del aire;37.26;01-09-1969;XIV de Los Rios;Rio Bueno
60992-63722-HB;contaminacion de agua;9.12;10-04-2006;V de Valparaiso;Algarrobo
88550-62897-BE;destruccion del medio ambiente;11.86;13-10-2016;I de Tarapaca;Huara
90610-86960-IK;mal olor;39.02;02-11-1991;XIV de Los Rios;Paillaco
85645-81268-OM;contaminacion del aire;5.07;27-03-1996;I de Tarapaca;Iquique
74486-45314-JE;destruccion del medio ambiente;38.55;03-10-2009;X de Los Lagos;Osorno
927-20876-MO;plagas;8.58;25-09-1999;VI del Libertador General Bernardo O'Higgins;Pumanque
84432-60785-OJ;mal olor;14.07;05-11-2012;III de Atacama;Vallenar
47648-23166-EF;contaminacion del aire;9.02;07-10-2016;Metropolitana de Santiago;La Granja
46590-3574-KK;contaminacion de la cadena trofica;29.39;13-04-2017;X de Los Lagos;Puerto Octay
91470-8840-DB;contaminacion de agua;15.39;13-07-2019;Metropolitana de Santiago;Curacavi
97495-35084-EF;plagas;22.25;04-02-2014;I de Tarapaca;Colchane
94897-93522-FM;contaminacion del aire;24.82;27-05-2012;X de Los Lagos;Castro
44126-19069-BJ;ruido;35.07;10-09-1971;XII de Magallanes y de La Antartica Chilena;Cabo de Hornos
60181-69018-HH;mal olor;29.34;29-08-1959;Metropolitana de Santiago;Lo Prado
56133-51675-EG;plagas;15.47;03-11-2011;Metropolitana de Santiago;San Pedro
12349-68468-NE;contaminacion de agua;43.78;11-12-1984;XVI de Ñuble;Coihueco
45408-80482-JJ;radiacion;31.07;01-04-2018;VIII del Bio-Bio;Curanilahue
64554-7702-EE;radiacion;33.73;14-04-2011;V de Valparaiso;Isla de Pascua
87081-14744-EO;mal olor;27.55;03-10-1969;VI del Libertador General Bernardo O'Higgins;San Vicente
21468-33966-BG;contaminacion del aire;43.83;12-11-2018;IV de Coquimbo;La Serena
79911-77502-GK;radiacion;41.02;16-10-1976;VII del Maule;Chanco
44463-89382-JB;contaminacion del aire;41.29;18-07-1988;VI del Libertador General Bernardo O'Higgins;Litueche
93957-42654-MJ;contaminacion de la cadena trofica;34.9;15-11-2016;V de Valparaiso;La Cruz
83020-52052-LB;contaminacion del aire;1.61;30-04-2019;IX de La Araucania;Gorbea
93618-6904-AB;ruido;4.54;13-03-2019;VII del Maule;Curico
72729-93566-IO;radiacion;16;15-12-1998;Metropolitana de Santiago;Tiltil
65494-44698-AL;destruccion del medio ambiente;30.41;29-03-1979;V de Valparaiso;Catemu
23158-58428-KD;ruido;10.98;09-04-2019;Metropolitana de Santiago;Macul
25052-73131-LN;destruccion del medio ambiente;14.3;18-11-1971;XVI de Ñuble;San Ignacio
46271-14461-NI;contaminacion del aire;6.1;15-07-1969;I de Tarapaca;Alto Hospicio
42357-34340-JA;contaminacion de agua;44.18;13-04-2014;Metropolitana de Santiago;Lo Espejo
29010-12861-DD;contaminacion de la cadena trofica;44.73;10-02-2015;VI del Libertador General Bernardo O'Higgins;Santa Cruz
63949-63463-AD;contaminacion de agua;10.11;21-03-2001;X de Los Lagos;San Juan de la Costa
32221-38037-JF;ruido;15.9;07-06-1961;VIII del Bio-Bio;Chiguayante
44173-47973-LG;plagas;2.42;08-11-2005;VIII del Bio-Bio;Tucapel
42760-70005-ID;mal olor;28.86;25-11-2001;VIII del Bio-Bio;San Rosendo
68697-51125-FD;radiacion;6.83;05-04-2017;XI de Aysen del General Carlos Ibañez del Campo;Tortel
69392-98027-FK;radiacion;6.42;24-05-2007;IX de La Araucania;Cunco
37210-80829-BJ;plagas;17.54;28-08-2013;VII del Maule;Sagrada Familia
59130-70279-FF;contaminacion de la cadena trofica;0.91;01-05-2005;IX de La Araucania;Vilcun
82896-93321-EJ;contaminacion de suelo;45.5;24-01-2007;XII de Magallanes y de La Antartica Chilena;Punta Arenas
16113-16509-GA;contaminacion de agua;24.28;29-07-2015;II de Antofagasta;Calama
66091-20466-FH;mal olor;4.08;12-02-1969;VI del Libertador General Bernardo O'Higgins;Doñihue
58889-55203-BK;plagas;27.39;18-08-2018;X de Los Lagos;Puyehue
47004-560-NG;ruido;28.13;15-11-1985;VII del Maule;Chanco
97236-75442-JB;mal olor;34.87;26-06-1989;IX de La Araucania;Curacautin
44687-5474-NA;ruido;23.8;14-02-2013;Metropolitana de Santiago;El Monte
71677-82561-EN;contaminacion de agua;45.88;14-11-2003;IX de La Araucania;Melipeuco
34682-25605-BJ;contaminacion de la cadena trofica;27.22;13-09-2015;VII del Maule;Empedrado
41287-87446-KF;contaminacion del aire;40.27;05-08-1997;VII del Maule;Molina
26975-51258-HJ;contaminacion del aire;20.56;14-08-1979;VI del Libertador General Bernardo O'Higgins;Placilla
81893-93687-AN;contaminacion de agua;38.17;04-02-2009;I de Tarapaca;Pica
22769-48482-IM;contaminacion de la cadena trofica;33.58;26-10-2018;IV de Coquimbo;Illapel
40597-59622-II;mal olor;10.02;28-10-2014;I de Tarapaca;Pozo Almonte
86247-37505-JD;destruccion del medio ambiente;21.3;08-05-2008;IX de La Araucania;Collipulli
94017-16117-BL;plagas;24.92;24-10-2010;Metropolitana de Santiago;Maria Pinto
3025-86515-OH;ruido;31.07;31-03-2010;Metropolitana de Santiago;Ñuñoa
33544-38676-FG;contaminacion del aire;45.5;19-07-2018;XII de Magallanes y de La Antartica Chilena;Porvenir
55265-57464-EI;destruccion del medio ambiente;7.32;21-05-2006;XIV de Los Rios;Lago Ranco
82626-29470-OD;mal olor;34.06;07-11-2010;Metropolitana de Santiago;Cerro Navia
11507-91284-ME;plagas;27.38;07-01-2012;X de Los Lagos;Frutillar
2608-50948-HB;ruido;22.44;02-07-1970;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
74425-78326-BG;mal olor;21.51;02-03-1973;X de Los Lagos;Los Muermos
53765-91712-ID;plagas;8.48;07-09-2017;XVI de Ñuble;Cobquecura
55188-56813-GM;ruido;17.65;07-02-2008;VI del Libertador General Bernardo O'Higgins;Malloa
2531-38146-GA;mal olor;27.06;02-03-2012;VII del Maule;Linares
38479-91360-BK;ruido;34.34;24-02-2004;VII del Maule;Romeral
42899-55261-AI;mal olor;9.63;21-08-1989;II de Antofagasta;Taltal
66490-4798-GJ;mal olor;0.31;02-04-2015;V de Valparaiso;Isla de Pascua
34473-41563-II;mal olor;14.72;09-03-2004;VI del Libertador General Bernardo O'Higgins;Navidad
65344-31706-EJ;plagas;7.56;20-10-2013;Metropolitana de Santiago;Huechuraba
60688-25664-NN;contaminacion de la cadena trofica;44.37;12-10-1975;XVI de Ñuble;Quillon
87317-11849-BD;radiacion;27.84;13-10-1994;XVI de Ñuble;Ninhue
56810-66919-AH;contaminacion del aire;23.41;11-07-1999;II de Antofagasta;Taltal
39774-96428-BB;contaminacion de la cadena trofica;42.26;26-07-2017;Metropolitana de Santiago;Cerro Navia
74293-86502-II;plagas;11.49;13-08-1985;V de Valparaiso;Juan Fernandez
60537-75940-LM;mal olor;24.13;23-12-1971;VII del Maule;Cauquenes
95882-16540-DA;contaminacion de suelo;45.61;25-01-1991;VI del Libertador General Bernardo O'Higgins;Coinco
72595-68383-BL;contaminacion de suelo;12.92;22-01-2015;VIII del Bio-Bio;Nacimiento
72292-70648-JD;destruccion del medio ambiente;39.9;17-01-2009;XII de Magallanes y de La Antartica Chilena;Punta Arenas
87952-12108-MK;contaminacion de suelo;20.87;20-02-2000;Metropolitana de Santiago;San Jose de Maipo
60671-25896-IL;ruido;38.62;05-05-1970;XI de Aysen del General Carlos Ibañez del Campo;Aisen
25492-12359-BI;contaminacion de suelo;15.74;02-08-2008;IV de Coquimbo;Canela
49894-77413-JM;contaminacion de suelo;3.32;24-11-2007;I de Tarapaca;Huara
35590-53572-HD;contaminacion de suelo;28.69;24-07-2015;VII del Maule;Chanco
89792-45724-DG;radiacion;28.3;25-04-1987;VI del Libertador General Bernardo O'Higgins;Navidad
1305-41548-MB;contaminacion de suelo;27.16;06-05-1990;I de Tarapaca;Pozo Almonte
96631-51612-LN;radiacion;24.94;09-07-2014;IV de Coquimbo;Combarbala
10204-17433-MK;contaminacion de agua;0.89;14-01-2017;V de Valparaiso;Santa Maria
91123-69652-EB;contaminacion de la cadena trofica;49.42;14-02-1998;VII del Maule;Hualañe
83898-72602-FB;contaminacion de suelo;41.42;23-04-2005;Metropolitana de Santiago;Lo Espejo
80469-64879-GB;plagas;11.94;02-07-1998;Metropolitana de Santiago;Peñaflor
40334-20113-II;radiacion;30.66;01-11-1993;X de Los Lagos;Palena
78865-66952-BE;radiacion;25.34;12-12-1994;VIII del Bio-Bio;Curanilahue
36539-63294-EO;mal olor;43.49;10-12-1998;VI del Libertador General Bernardo O'Higgins;Mostazal
98008-97217-MJ;mal olor;7.86;19-03-2019;Metropolitana de Santiago;Cerrillos
27735-71818-HA;contaminacion del aire;16.38;10-09-2004;Metropolitana de Santiago;Conchali
91019-18710-BB;contaminacion de suelo;46.35;29-01-1993;V de Valparaiso;San Esteban
21403-76023-HN;destruccion del medio ambiente;30.6;13-06-2018;VI del Libertador General Bernardo O'Higgins;Graneros
88574-86237-HH;ruido;14.8;24-12-2009;VIII del Bio-Bio;Santa Juana
47343-69111-BG;mal olor;40.34;28-10-1989;VIII del Bio-Bio;Lebu
68835-72567-AO;contaminacion de agua;37.17;15-05-2015;V de Valparaiso;Calera
46290-63138-JN;contaminacion de suelo;25.28;18-04-2019;XVI de Ñuble;Treguaco
91543-67194-BI;contaminacion de la cadena trofica;11.67;07-01-2018;III de Atacama;Huasco
5229-49517-FB;ruido;40.62;17-05-2002;VIII del Bio-Bio;Tome
25952-48407-GN;mal olor;24.8;24-01-2013;IX de La Araucania;Curacautin
49849-42420-MH;ruido;8.75;07-01-1974;VIII del Bio-Bio;Lota
97325-51221-AN;contaminacion del aire;8.46;11-08-2016;XIV de Los Rios;Futrono
9576-20383-GJ;contaminacion del aire;33.12;22-03-1985;VIII del Bio-Bio;Cabrero
84674-64334-LB;destruccion del medio ambiente;32.36;01-04-1985;IV de Coquimbo;La Higuera
31867-88041-BG;destruccion del medio ambiente;16.61;06-01-1979;V de Valparaiso;Zapallar
68407-33755-BB;mal olor;1.65;21-11-1997;IX de La Araucania;Vilcun
69141-92407-HA;contaminacion de agua;24.5;11-05-2003;IX de La Araucania;Loncoche
71913-60716-JG;radiacion;10.01;08-02-2011;IX de La Araucania;Pucon
40991-65254-BD;contaminacion del aire;35.31;21-10-1965;IX de La Araucania;Pucon
62833-16393-MF;contaminacion de agua;35.73;14-06-1999;VI del Libertador General Bernardo O'Higgins;Nancagua
32705-97803-JH;mal olor;13.91;15-08-1990;X de Los Lagos;Chaiten
42699-47673-OI;contaminacion de agua;5.93;13-11-2014;XII de Magallanes y de La Antartica Chilena;Primavera
14273-23022-KO;contaminacion de agua;29.58;13-04-2019;VI del Libertador General Bernardo O'Higgins;Peumo
74767-26447-HF;contaminacion del aire;18.05;13-03-1982;IX de La Araucania;Collipulli
65968-85150-HI;mal olor;8.39;04-12-2000;IX de La Araucania;Freire
87781-49555-BF;plagas;33.28;27-04-2015;Metropolitana de Santiago;Padre Hurtado
38897-46030-IK;ruido;35.82;04-02-1995;X de Los Lagos;Frutillar
2407-62656-BL;radiacion;28.05;26-04-2013;Metropolitana de Santiago;El Monte
60087-95999-HN;ruido;39.67;28-09-2006;VIII del Bio-Bio;San Rosendo
75387-43854-OK;contaminacion del aire;48.84;29-12-1993;Metropolitana de Santiago;Calera de Tango
9502-67408-GO;contaminacion de agua;30.35;09-07-2018;IX de La Araucania;Pitrufquen
42595-19880-KB;mal olor;35.61;02-10-2002;VII del Maule;Villa Alegre
41271-12585-BF;contaminacion de suelo;26.61;23-08-2017;IV de Coquimbo;Canela
46221-88663-OL;radiacion;8.39;31-10-2007;V de Valparaiso;Puchuncavi
70127-32022-FB;plagas;18.86;09-09-1985;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
30913-15252-KF;contaminacion de agua;47.52;08-12-1979;X de Los Lagos;Quellon
34801-76584-OF;mal olor;10.21;27-09-2014;IX de La Araucania;Lumaco
61189-51150-NL;ruido;15.5;09-06-2006;XVI de Ñuble;Quirihue
54812-13895-BG;ruido;37.85;11-05-2006;X de Los Lagos;Quinchao
32754-8410-AL;destruccion del medio ambiente;22.42;31-12-2013;X de Los Lagos;Queilen
67248-63248-LA;contaminacion de suelo;0.41;16-08-2009;XIV de Los Rios;Futrono
96578-41700-AO;mal olor;35.7;08-10-1990;XVI de Ñuble;Quillon
89902-77559-KM;mal olor;41.83;30-05-2019;VII del Maule;Longavi
25323-35556-LI;mal olor;2.41;11-09-2010;IV de Coquimbo;Canela
51559-61188-GN;mal olor;45.42;18-08-2019;Metropolitana de Santiago;Peñalolen
18175-72815-EF;contaminacion de suelo;25.28;13-06-1974;VI del Libertador General Bernardo O'Higgins;San Fernando
64708-58372-IA;mal olor;19.95;24-12-1981;V de Valparaiso;Calera
52332-10041-GO;ruido;1.08;18-08-1994;XII de Magallanes y de La Antartica Chilena;Timaukel
88021-52926-NN;contaminacion del aire;22.61;06-06-1993;XVI de Ñuble;San Ignacio
32596-42116-OO;destruccion del medio ambiente;13.28;17-11-1972;VI del Libertador General Bernardo O'Higgins;Pichilemu
15766-48634-MH;mal olor;46.03;19-05-1996;IV de Coquimbo;Canela
99248-6464-MD;contaminacion de suelo;22.29;02-02-1974;V de Valparaiso;Calle Larga
81297-16515-AB;plagas;3.36;15-10-1991;X de Los Lagos;Curaco de Velez
53163-44960-KJ;plagas;38.06;06-12-1979;IV de Coquimbo;Illapel
75800-90272-BL;contaminacion de la cadena trofica;31.63;04-03-2018;VI del Libertador General Bernardo O'Higgins;Pumanque
90303-33214-FI;contaminacion de la cadena trofica;27.88;01-02-2010;XI de Aysen del General Carlos Ibañez del Campo;Tortel
47987-74207-HO;mal olor;17.19;09-03-1996;I de Tarapaca;Iquique
25618-67903-HB;plagas;9.08;03-10-2011;Metropolitana de Santiago;Las Condes
172-50915-NM;radiacion;41.91;07-01-2014;VIII del Bio-Bio;Cabrero
2610-53398-HI;plagas;12.33;12-02-2018;VII del Maule;Villa Alegre
3890-35419-ID;mal olor;25.44;08-02-1978;VII del Maule;Yerbas Buenas
18107-57385-BO;contaminacion de suelo;7.65;21-10-2003;IX de La Araucania;Pucon
1996-8110-HE;ruido;1.24;23-09-1995;XI de Aysen del General Carlos Ibañez del Campo;Aisen
24707-70399-HM;mal olor;13.47;06-04-1983;Metropolitana de Santiago;Lampa
20075-43643-BF;radiacion;42.49;10-02-1983;VII del Maule;Retiro
99688-2750-EE;ruido;2.89;28-04-2008;IX de La Araucania;Temuco
77384-79091-DJ;contaminacion de la cadena trofica;28.59;10-09-2004;V de Valparaiso;La Ligua
43336-47142-GG;contaminacion de la cadena trofica;12.99;05-10-1988;Metropolitana de Santiago;La Florida
93345-98042-LL;ruido;3.48;25-12-2016;VII del Maule;Retiro
22925-72176-FE;plagas;23.92;12-06-2016;Metropolitana de Santiago;La Florida
97056-31716-HF;ruido;20.18;23-05-1989;IX de La Araucania;Los Sauces
76578-13192-GJ;contaminacion del aire;42.19;28-02-2016;V de Valparaiso;Nogales
1641-43528-MA;contaminacion de agua;27.89;22-08-2019;VIII del Bio-Bio;Concepcion
66184-31922-FD;plagas;12.43;17-04-1979;III de Atacama;Huasco
46197-7932-FD;contaminacion de la cadena trofica;32.72;15-07-2012;Metropolitana de Santiago;Pudahuel
87051-69041-BG;contaminacion de suelo;32.27;23-01-2015;Metropolitana de Santiago;Lo Espejo
41420-30193-OE;mal olor;6.06;10-04-2002;V de Valparaiso;Petorca
64137-59773-DE;ruido;17.44;29-11-1987;XIV de Los Rios;Paillaco
30213-38379-HJ;plagas;27.76;26-08-1964;VII del Maule;Pelarco
47468-13071-IO;contaminacion de la cadena trofica;37.01;18-05-2018;Metropolitana de Santiago;El Bosque
1137-95897-GM;mal olor;8.8;03-09-2014;IX de La Araucania;Cholchol
66825-71796-OJ;plagas;2.03;05-05-1997;IX de La Araucania;Temuco
58594-53004-OJ;ruido;12.87;14-07-1995;IX de La Araucania;Padre Las Casas
60250-12097-HN;radiacion;29.79;07-06-2019;V de Valparaiso;Zapallar
88157-62869-ND;plagas;46.85;23-04-1988;IX de La Araucania;Curarrehue
43871-94830-BH;contaminacion del aire;47.07;26-02-2000;VIII del Bio-Bio;Cabrero
84441-78614-HO;contaminacion de la cadena trofica;39.51;28-10-1998;VI del Libertador General Bernardo O'Higgins;Paredones
36788-87178-IE;mal olor;10.45;14-08-1986;VIII del Bio-Bio;Yumbel
76577-92594-DB;ruido;20.47;24-04-2008;IX de La Araucania;Carahue
3098-3454-ML;radiacion;23.67;24-05-2018;V de Valparaiso;Puchuncavi
20761-37159-FM;plagas;46.86;20-11-2017;VI del Libertador General Bernardo O'Higgins;Placilla
90985-26435-EN;contaminacion de agua;22.53;02-03-1990;Metropolitana de Santiago;Huechuraba
76960-65067-NB;ruido;5.28;19-07-2002;IX de La Araucania;Angol
97289-50153-HH;ruido;17.83;30-09-2007;VIII del Bio-Bio;Talcahuano
9628-77499-JM;contaminacion de la cadena trofica;41.72;27-01-2019;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
81842-34129-NH;plagas;35.19;09-01-1966;IX de La Araucania;Lumaco
17263-38113-AM;destruccion del medio ambiente;34.23;29-03-2015;V de Valparaiso;Panquehue
13023-62707-IO;contaminacion de agua;33.52;27-07-2009;VI del Libertador General Bernardo O'Higgins;Pichidegua
83520-93008-DB;contaminacion de suelo;44.78;17-10-2012;X de Los Lagos;Frutillar
80614-97481-AO;ruido;26.18;10-12-1980;IV de Coquimbo;Rio Hurtado
49987-45680-OE;contaminacion del aire;14.99;10-03-1997;Metropolitana de Santiago;Lo Prado
74800-92467-GB;plagas;17.74;09-10-2016;IX de La Araucania;Angol
87962-13739-KI;plagas;28.63;30-04-1969;V de Valparaiso;Valparaiso
91129-92414-FM;contaminacion de suelo;31.21;01-11-2010;VI del Libertador General Bernardo O'Higgins;Coinco
23723-22334-MM;contaminacion de la cadena trofica;4.59;03-05-2018;V de Valparaiso;La Ligua
92443-67883-GB;contaminacion de agua;24.89;09-10-1964;VIII del Bio-Bio;Quilleco
7693-5313-GA;contaminacion de la cadena trofica;11.6;01-02-1985;Metropolitana de Santiago;Tiltil
82191-85337-GB;mal olor;24.33;01-10-1977;IX de La Araucania;Traiguen
33959-77995-KM;contaminacion de suelo;44;25-07-2016;Metropolitana de Santiago;Macul
36320-80982-FD;radiacion;33.01;05-02-1995;XVI de Ñuble;Cobquecura
18195-86403-OA;plagas;26.4;14-05-2017;IX de La Araucania;Los Sauces
61039-1015-LB;mal olor;17;31-07-2017;IX de La Araucania;Cunco
67493-22248-GA;radiacion;2.98;18-08-1979;II de Antofagasta;Maria Elena
88731-71310-BO;ruido;0.69;01-05-1994;X de Los Lagos;Chonchi
18475-85967-EE;mal olor;43.24;04-11-1994;IX de La Araucania;Freire
70633-52227-ML;contaminacion de la cadena trofica;42.03;21-03-2001;V de Valparaiso;Algarrobo
13699-97414-IB;radiacion;37.08;06-03-2009;I de Tarapaca;Pozo Almonte
65159-39874-OM;contaminacion de suelo;22.83;15-11-2018;XII de Magallanes y de La Antartica Chilena;Primavera
56703-53933-KB;plagas;0.65;16-03-2018;VI del Libertador General Bernardo O'Higgins;Rengo
16150-17577-LB;contaminacion de suelo;5.23;05-03-2015;VIII del Bio-Bio;Tucapel
41001-49089-KM;plagas;35.88;14-11-1993;III de Atacama;Tierra Amarilla
67178-63918-IG;mal olor;49.18;28-11-2005;X de Los Lagos;Osorno
68214-97741-MG;mal olor;10.51;23-07-1985;VII del Maule;San Javier
34893-72576-KI;destruccion del medio ambiente;8.84;28-06-1983;IX de La Araucania;Lonquimay
69361-4020-EB;destruccion del medio ambiente;48.84;11-03-1989;I de Tarapaca;Colchane
37077-67522-AD;mal olor;43.12;26-05-2019;XVI de Ñuble;Ninhue
54693-50111-JH;contaminacion del aire;3.5;26-02-2010;VIII del Bio-Bio;Santa Barbara
82855-54903-KE;radiacion;31.48;21-09-1984;XVI de Ñuble;San Nicolas
30543-32623-EN;destruccion del medio ambiente;46.84;21-06-1974;Metropolitana de Santiago;Vitacura
82707-55805-LO;contaminacion del aire;33.03;08-10-1986;Metropolitana de Santiago;San Jose de Maipo
40595-82933-GM;contaminacion de agua;6.29;24-02-1986;X de Los Lagos;San Juan de la Costa
60695-32547-BA;contaminacion de agua;3.36;22-05-2014;VIII del Bio-Bio;Curanilahue
7651-43986-FI;mal olor;40.72;02-05-2002;Metropolitana de Santiago;La Florida
20966-66271-GI;contaminacion del aire;9.4;10-02-2017;VII del Maule;San Rafael
12755-77329-MJ;ruido;17.51;19-05-1998;V de Valparaiso;Calle Larga
44271-84474-HJ;mal olor;20.01;01-09-2009;I de Tarapaca;Alto Hospicio
83495-46977-MM;destruccion del medio ambiente;15.52;26-04-1997;Metropolitana de Santiago;La Granja
51185-65192-HK;ruido;2.66;15-05-2009;I de Tarapaca;Pica
22804-83287-KN;contaminacion de la cadena trofica;3.76;31-05-2000;I de Tarapaca;Colchane
10225-64929-AK;contaminacion de la cadena trofica;9.07;21-08-2004;VII del Maule;Romeral
8978-63611-BJ;contaminacion del aire;46.03;13-08-2006;VI del Libertador General Bernardo O'Higgins;Palmilla
41720-47984-OA;contaminacion de suelo;22.45;31-05-1999;X de Los Lagos;San Juan de la Costa
93620-64265-JB;destruccion del medio ambiente;31.4;27-04-2012;Metropolitana de Santiago;Providencia
933-49384-BJ;ruido;44;07-09-1989;III de Atacama;Tierra Amarilla
25701-81488-IH;mal olor;41.22;24-01-2019;V de Valparaiso;Catemu
17702-1022-OJ;mal olor;22.2;02-01-2009;Metropolitana de Santiago;Quinta Normal
91584-13116-MM;contaminacion del aire;34.09;04-10-2005;IV de Coquimbo;Rio Hurtado
35270-27003-MJ;contaminacion de suelo;30.91;03-08-1998;VIII del Bio-Bio;Negrete
58763-81282-KH;ruido;43.83;30-06-2019;IV de Coquimbo;Ovalle
96391-35605-GK;contaminacion del aire;29.99;29-05-2001;IV de Coquimbo;La Higuera
29585-96541-DM;destruccion del medio ambiente;40.34;26-11-1994;X de Los Lagos;Hualaihue
925-46512-MF;contaminacion del aire;6.39;30-06-2000;XVI de Ñuble;Chillan
40481-1463-IN;contaminacion de agua;9.49;18-04-1989;VI del Libertador General Bernardo O'Higgins;Rengo
