numero,ONG,proyecto,presupuesto (US$),tipo,fecha
7300,"Herman, Luettgen And Balistreri",Del Fierro,758950,marcha,2014-11-25
7301,"Satterfield, Torp And O'Kon",Victoria,483986,redes sociales,2019-03-12
7302,"Williamson, Lindgren And Cummerata","H&R Block, Inc.",121846,redes sociales,1991-10-18
7303,Dibbert-Shields,"PDF Solutions, Inc.",378083,marcha,2017-01-25
7304,Kunde Inc,San Geronimo,240451,marcha,2018-12-29
7305,Quitzon Inc,Las Luces,224897,marcha,1987-01-03
7306,Kunde-Lowe,Arenal,825868,redes sociales,2018-02-07
7307,"Hane, Wyman And Rempel","Edge Therapeutics, Inc.",934120,redes sociales,2017-02-09
7308,Jerde-Bauch,Andacollo Cobre,549797,redes sociales,1975-09-06
7309,Denesik And Sons,Yelp Inc.,530116,marcha,2019-01-27
7310,"Bruen, Kulas And Hodkiewicz",SL Green Realty Corporation,559181,marcha,2002-03-17
7311,Gaylord-Torphy,"Evolving Systems, Inc.",717693,marcha,2017-01-13
7312,Mckenzie Inc,Data Processing,933773,marcha,2003-06-29
7313,Bosco And Sons,Pascua,221431,marcha,2012-12-27
7314,Nolan Group,Cosayach - Soledad,927690,marcha,2014-07-26
7315,"Watsica, Spencer And Weissnat",B.O.S. Better Online Solutions,410212,marcha,1966-05-02
7316,Hickle Group,El Toqui,401412,marcha,2013-02-05
7317,"Lynch, Feest And Eichmann",ACF - Lagunas,921876,marcha,1974-03-18
7318,Dietrich ,Enel Generacion Chile S.A.,51452,marcha,1964-07-22
7319,Gaylord Inc,United Insurance Holdings Corp.,626290,marcha,2012-10-29
7320,Roob-Jacobson,Cerro Colorado,853609,marcha,1964-03-03
7321,"Shields, Wintheiser And Boyle",Andina,256815,marcha,2014-04-20
7322,Welch ,Regal Entertainment Group,799796,marcha,2015-10-27
7323,Heaney Inc,Tranquilo,451786,marcha,2019-03-28
7324,Cummerata Group,Vanguard Russell 3000 ETF,435481,marcha,2016-05-21
7325,"Halvorson, Mcclure And Skiles",Isla Riesco,626338,marcha,2018-06-03
7326,Wisozk-Connelly,"LTC Properties, Inc.",511925,redes sociales,2019-03-02
7327,Macgyver Inc,Lota,194940,redes sociales,2017-07-12
7328,Ritchie And Sons,Fair Isaac Corporation,453340,redes sociales,1970-12-19
7329,Runolfsson-Renner,Can Can,301949,redes sociales,2018-04-19
7330,Macgyver Inc,Coiron,70425,marcha,2007-10-04
7331,"Schaden, Cronin And Bernier",Double Eagle Acquisition Corp.,273088,marcha,2011-01-08
7332,Wehner And Sons,Ceragon Networks Ltd.,787824,marcha,1997-11-05
7333,Stracke Inc,E.I. du Pont de Nemours and Company,140840,marcha,1989-08-30
7334,Barrows-Dibbert,"Hub Group, Inc.",643141,marcha,2015-07-22
7335,"Trantow, Schneider And Marvin",Quiborax,420077,marcha,1978-04-06
7336,Goldner-Klocko,San Jose,323137,redes sociales,2012-11-27
7337,Hessel-Toy,Salesforce.com Inc,651982,marcha,1979-10-03
7338,"Steuber, Rutherford And Upton",Stamps.com Inc.,199094,redes sociales,2006-05-23
7339,Legros Group,Pupunahue,228282,redes sociales,1989-07-30
7340,Bosco-Kiehn,Marine Petroleum Trust,558225,redes sociales,2019-06-04
7341,Hudson-Mayer,"HCA Healthcare, Inc.",582829,marcha,1970-06-06
7342,"Wolf, West And Breitenberg",Caupolican,819933,marcha,2007-07-21
7343,Breitenberg ,Voya Global Equity Dividend and Premium Opportunity Fund,809577,marcha,1982-06-09
7344,King And Sons,Isla Riesco,656412,redes sociales,2017-03-13
7345,"Goodwin, Cremin And Raynor",Envision Healthcare Corporation,64163,marcha,2001-07-22
7346,"Bergstrom, Barrows And Shields","National American University Holdings, Inc.",453739,marcha,1987-02-19
7347,"Dooley, Jerde And Kshlerin",Blackstone GSO Long Short Credit Income Fund,673505,redes sociales,2009-06-17
7348,"Paucek, Mclaughlin And Green",Bronce de Petorca,333657,marcha,1989-03-05
7349,"Veum, Ritchie And Crist",Fidus Investment Corporation,809397,marcha,1981-03-10
7350,Orn-Hilll,"Ocular Therapeutix, Inc.",926641,marcha,1986-11-22
7351,Schuster-Kub,PowerShares Nasdaq Internet Portfolio,546712,redes sociales,2013-10-16
7352,Jacobs Group,Refugio,707316,marcha,2018-11-12
7353,Aeal,Nuveen Connecticut Quality Municipal Income Fund,846576,marcha,2012-11-01
7354,Kunze-Ernser,"SeaChange International, Inc.",226250,marcha,2001-08-18
7355,"Rolfson, Koch And Osinski",Maganeso III de Atacama,906812,redes sociales,1988-07-30
7356,Effertz-Zboncak,Carola,815910,marcha,2010-06-09
7357,"Schmidt, Reinger And Zulauf",Texas Pacific Land Trust,334325,redes sociales,1983-11-21
7358,Swaniawski-Sawayn,"ILG, Inc",994130,marcha,2007-12-23
7359,"Orn, Conn And Jakubowski",Caserones,295366,marcha,2008-06-01
7360,Haag-Stoltenberg,CMP - Romeral,304421,marcha,1963-09-12
7361,"Erdman, Graham And Yost","Avon Products, Inc.",18572,redes sociales,1990-01-31
7362,"Reichert, Mayer And Schmitt",Cerro Casale,31973,marcha,1991-03-02
7363,"Upton, Kshlerin And Borer",Guaranty Bancorp,951004,marcha,2000-10-27
7364,Renner Inc,Esterline Technologies Corporation,347364,redes sociales,2017-08-20
7365,Hilpert ,Randgold Resources Limited,936322,marcha,1978-08-16
7366,Mckenzie Inc,AdvisorShares Market Adaptive Unconstrained Income ETF,182009,redes sociales,2005-11-19
7367,Walter-Littel,Dorado,129678,redes sociales,1980-03-28
7368,Koelpin-Hand,Algorta,71102,marcha,2007-08-28
7369,"Bernier, Leuschke And Towne",PureFunds ETFx HealthTech ETF,418289,redes sociales,2018-11-12
7370,Braun-Bechtelar,"CenterPoint Energy, Inc.",347716,redes sociales,2017-12-01
7371,Stoltenberg ,Caupolican,647931,redes sociales,1984-03-02
7372,Afac,"CenterPoint Energy, Inc.",818485,redes sociales,2008-10-23
7373,"Boehm, Mccullough And Cronin","FTI Consulting, Inc.",263119,redes sociales,2015-10-22
7374,"Gleason, Stoltenberg And Anderson",El Guindo,715977,redes sociales,2014-11-21
7375,"Herman, Luettgen And Balistreri",Eagle Bulk Shipping Inc.,664174,marcha,2019-06-05
7376,Cremin And Sons,Jazz Pharmaceuticals plc,32073,marcha,2010-03-07
7377,"Lakin, Smitham And Greenholt",Chuquicamata,478557,redes sociales,2009-09-19
7378,Heller-Rohan,"CenterPoint Energy, Inc.",671362,redes sociales,2009-08-24
7379,Schiller-Mitchell,Cowen Inc.,250227,redes sociales,2015-05-16
7380,Walsh ,"HD Supply Holdings, Inc.",399361,marcha,2000-09-02
7381,"Cummerata, Gutmann And Gaylord",Nuveen Connecticut Quality Municipal Income Fund,33919,marcha,1978-11-17
7382,Deckow And Sons,"Destination XL Group, Inc.",761699,marcha,2012-02-12
7383,Aeal,Park-Ohio Holdings Corp.,594086,marcha,2012-03-04
7384,Afs Intercultura,Collahuasi,233538,marcha,2007-09-05
7385,Bechtelar-Wuckert,"Texas Capital Bancshares, Inc.",549933,marcha,1996-11-09
7386,"Gorczany, Lindgren And Smitham",Schwager,547718,redes sociales,2002-10-08
7387,Weissnat-Bergstrom,Chuquicamata,711449,redes sociales,1995-10-12
7388,Wehner And Sons,"Dynex Capital, Inc.",495830,redes sociales,1964-08-01
7389,Cassin-Jerde,SCL Chemetall,383998,redes sociales,1989-04-14
7390,Hintz-Reilly,El Salvador,119521,redes sociales,2013-12-18
7391,Walter Group,Central Garden & Pet Company,405886,marcha,2018-06-25
7392,Schimmel-Beatty,United Insurance Holdings Corp.,918036,marcha,2017-03-23
7393,"Renner, Bogisich And O'Kon","Western Refining Logistics, LP",29814,marcha,1966-04-12
7394,Marvin-Corkery,"Dynex Capital, Inc.",248853,marcha,2004-03-27
7395,"Luettgen, Watsica And Kutch",Dollar General Corporation,805751,marcha,2013-10-30
7396,"Jerde, Veum And Orn",Mantos de la Luna,914106,marcha,2003-09-17
7397,"Kihn, Orn And Farrell",Quiborax,56723,redes sociales,1990-02-15
7398,Bode ,Lions Gate Entertainment Corporation,419731,marcha,2018-02-06
7399,Schroeder-Wiza,Data Processing,431624,marcha,2011-09-16
7400,"Beer, Zieme And Huels",Pampa Camarones,749395,redes sociales,2009-06-16
7401,Medhurst-Jones,Orbotech Ltd.,78518,marcha,1992-12-26
7402,"Rippin, Huel And Mccullough",Drive Shack Inc.,758033,marcha,1995-03-10
7403,Raynor ,Cosayach - Soledad,540138,redes sociales,2013-03-23
7404,Pagac And Sons,Cummins Inc.,209057,marcha,1991-01-31
7405,"Wunsch, Barrows And Hoeger","Biocept, Inc.",758257,marcha,2004-07-02
7406,"Schultz, Huel And Cormier","Nustar GP Holdings, LLC",178320,redes sociales,1986-09-21
7407,"Hickle, Beatty And Gleichner",United States Cellular Corporation,328279,marcha,1996-10-01
7408,Abernathy ,Bed Bath & Beyond Inc.,935352,redes sociales,1983-04-16
7409,Hintz-Donnelly,Cowen Inc.,383126,redes sociales,2016-03-28
7410,Terry Group,"Adams Diversified Equity Fund, Inc.",534954,redes sociales,2008-05-14
7411,Pouros Group,"MasTec, Inc.",176997,redes sociales,1985-04-30
7412,Purdy And Sons,Radomiro Tomic,652457,redes sociales,1994-01-13
7413,"Jacobs, Bechtelar And Skiles",Merus Labs International Inc.,434839,marcha,2005-02-05
7414,Bahringer Inc,R.R. Donnelley & Sons Company,28263,redes sociales,1992-10-04
7415,Kozey-Stoltenberg,SQM - Nueva Victoria,552613,redes sociales,1997-10-26
7416,Raynor And Sons,ACF - Lagunas,334035,marcha,2001-09-05
7417,Homenick-Rowe,Esterline Technologies Corporation,157534,redes sociales,1994-04-06
7418,Rohan And Sons,Jazz Pharmaceuticals plc,322050,redes sociales,2013-06-14
7419,Mcdermott ,BLDRS Asia 50 ADR Index Fund,901684,redes sociales,2018-03-30
7420,Afs Intercultura,Dynatronics Corporation,852230,marcha,1983-04-01
7421,Hilll-Tromp,PowerShares BuyBack Achievers Portfolio,233333,marcha,1998-03-18
7422,Koepp ,Guaranty Bancorp,66013,redes sociales,2002-10-17
7423,"Heaney, Feest And Murphy",Limoneira Co,614794,redes sociales,2009-07-08
7424,Sipes Group,Celite - Tilviche,347389,marcha,1996-11-17
7425,"Spinka, Senger And Brakus",Natl Westminster Pfd,201970,redes sociales,1978-10-30
7426,Konopelski-Langosh,Los Pelambres,747402,redes sociales,1997-06-23
7427,Schoen And Sons,Enel Generacion Chile S.A.,274135,redes sociales,1969-12-03
7428,Cronin ,"Appliance Recycling Centers of America, Inc.",458867,redes sociales,2017-06-21
7429,Braun-Eichmann,"First Hawaiian, Inc.",46410,redes sociales,1998-09-14
7430,"Reilly, Veum And Wehner",Las Cenizas,45201,marcha,1997-01-28
7431,"Haag, Beatty And Walker",Janus Henderson Small Cap Growth Alpha ETF,345058,redes sociales,1990-02-20
7432,King Group,Kite Realty Group Trust,981586,redes sociales,2019-05-25
7433,Mckenzie Inc,iShares 20+ Year Treasury Bond ETF,102183,marcha,1990-05-27
7434,Wolff-Greenholt,"CenterPoint Energy, Inc.",630584,redes sociales,1995-12-28
7435,Frami Group,Salesforce.com Inc,944456,marcha,2017-12-14
7436,Marvin-Kautzer,"Mirna Therapeutics, Inc.",659980,redes sociales,1981-09-14
7437,"Lang, Kohler And Dietrich",Royal Caribbean Cruises Ltd.,547847,marcha,2019-03-08
7438,"Predovic, O'Conner And Gutkowski","Vectrus, Inc.",696540,redes sociales,1996-11-05
7439,"Haag, Beatty And Walker","Meridian Waste Solutions, Inc",117377,marcha,1984-09-21
7440,Mraz Group,"FairPoint Communications, Inc.",162685,redes sociales,2010-06-18
7441,"Mann, Walsh And Dickinson","Discovery Communications, Inc.",300277,marcha,2012-05-13
7442,Hauck ,Mantos de la Luna,987909,redes sociales,2017-07-04
7443,Carter-Muller,"Tootsie Roll Industries, Inc.",889777,redes sociales,1988-12-31
7444,"Langosh, Lueilwitz And Lehner",Ministro Hales,340634,redes sociales,2005-11-23
7445,"Heller, Lubowitz And Dach","First Hawaiian, Inc.",692689,redes sociales,2009-11-21
7446,Klocko Group,AGCO Corporation,428520,marcha,2003-11-25
7447,Gutkowski-Bartoletti,Sierra Miranda,401963,marcha,1982-10-22
7448,"Crooks, Mraz And Volkman",Array BioPharma Inc.,200131,marcha,2013-12-07
7449,Eichmann-Fahey,La Patagua,396401,marcha,2011-07-20
7450,"Wehner, Schneider And Frami",Arenal,561658,marcha,2015-03-12
7451,Klein-Bartoletti,Cosayach - Cala Cala,971206,marcha,2014-04-04
7452,Dibbert And Sons,Global Partner Acquisition Corp.,98644,redes sociales,2010-12-06
7453,"Heidenreich, Boyer And Dach",Biglari Holdings Inc.,233291,redes sociales,1974-01-23
7454,"Grady, Mitchell And Lindgren",Carvana Co.,991473,redes sociales,2019-04-21
7455,Senger Group,San Geronimo,187792,marcha,2018-11-27
7456,Adavas,Candelaria,808186,marcha,2004-06-12
7457,Strosin ,AGCO Corporation,725511,marcha,1987-02-28
7458,Mohr And Sons,Ojos del Salado,451965,marcha,2003-01-06
7459,"Hane, Wyman And Rempel","support.com, Inc.",999233,redes sociales,2014-05-11
7460,"Bins, Ortiz And Bogan","Tootsie Roll Industries, Inc.",359375,marcha,2018-05-07
7461,Harvey And Sons,SAP SE,894527,redes sociales,2005-05-20
7462,Weber Inc,Franke,757913,redes sociales,2016-08-21
7463,"Gleichner, Waelchi And Douglas",Novelion Therapeutics Inc.,169311,redes sociales,2009-06-13
7464,"Stark, Langworth And Kovacek",PureFunds ETFx HealthTech ETF,188936,marcha,2018-04-09
7465,"Macejkovic, Gusikowski And Keeling",ACF - Lagunas,145699,redes sociales,1967-03-06
7466,Afs Intercultura,Stamps.com Inc.,337254,redes sociales,2010-07-10
7467,Hansen-Hills,"Herman Miller, Inc.",71492,marcha,1963-03-29
7468,"Shields, Wintheiser And Boyle",Inacesa - El Way,925754,redes sociales,1991-05-20
7469,Runolfsdottir And Sons,Stamps.com Inc.,460296,marcha,2005-03-26
7470,"Wolff, Russel And Ankunding",La Pepa,667216,redes sociales,2018-05-05
7471,Weissnat-Bergstrom,E.I. du Pont de Nemours and Company,876356,redes sociales,2000-10-19
7472,"Johnson, Batz And Davis",Andacollo Cobre,437917,marcha,1973-03-17
7473,Rutherford Group,Mackinac Financial Corporation,282831,marcha,1992-04-26
7474,Rippin-Torphy,Altamira,279948,marcha,1976-12-14
7475,"Keeling, Bruen And Greenholt",Las Cenizas,631724,marcha,1984-12-27
7476,Blanda-Gislason,Cosayach - Negreiros,18906,redes sociales,1994-08-31
7477,Moore-Lueilwitz,"Avon Products, Inc.",605806,redes sociales,2004-02-15
7478,Homenick-Rowe,HollyFrontier Corporation,203611,redes sociales,1991-06-18
7479,Kilback Inc,Cerro Iman,857104,redes sociales,2014-02-07
7480,Cremin Inc,Galectin Therapeutics Inc.,260676,marcha,2018-12-27
7481,Adams-Hickle,"Ellie Mae, Inc.",192917,marcha,2016-03-10
7482,Hauck-Metz,Aircastle Limited,847288,redes sociales,2015-09-18
7483,Zieme-Langworth,Pupunahue,701908,marcha,2015-02-05
7484,Bode ,"Universal Stainless & Alloy Products, Inc.",279950,marcha,2014-10-24
7485,Bins Group,Las Piedras,740611,redes sociales,2014-12-09
7486,Lesch-Homenick,Double Eagle Acquisition Corp.,711956,marcha,2019-07-09
7487,Stracke And Sons,El Morro,426028,redes sociales,2000-05-16
7488,Ferry-Schuppe,"Hurco Companies, Inc.",33392,redes sociales,2009-05-21
7489,"Heathcote, Schinner And Walker",Fidus Investment Corporation,643479,marcha,1987-04-09
7490,Weissnat Inc,BLDRS Developed Markets 100 ADR Index Fund,874407,redes sociales,1993-07-05
7491,"Reinger, Keeling And Nienow","Nutanix, Inc.",356135,marcha,1991-10-22
7492,"Lebsack, Conn And Kulas",El Penon,74998,redes sociales,2016-03-30
7493,Shields ,CMP - Cerro Negro Norte,53068,marcha,1967-02-20
7494,Jenkins Group,SQM - Yumbes,539154,marcha,2007-09-30
7495,Schimmel-Murray,Navio,285861,marcha,1970-10-24
7496,"Boyle, Weissnat And Blanda","Urban One, Inc. ",644135,redes sociales,2017-03-16
7497,Berge And Sons,Garrison Capital Inc.,553560,marcha,2003-05-03
7498,Borer-Trantow,PowerShares Nasdaq Internet Portfolio,352488,redes sociales,2018-08-23
7499,"Baumbach, Mccullough And Larson",Tekla Healthcare Opportunies Fund,439967,marcha,2019-02-10
7500,Rohan And Sons,Galectin Therapeutics Inc.,302110,redes sociales,2019-07-31
7501,"Weimann, Armstrong And Luettgen","German American Bancorp, Inc.",645964,redes sociales,2003-04-19
7502,Conroy Group,Ministro Hales,17231,redes sociales,1988-08-20
7503,Franecki ,"Universal Stainless & Alloy Products, Inc.",663148,marcha,2000-03-27
7504,"Johns, Wisozk And Johnson",Novanta Inc.,153675,redes sociales,1990-11-27
7505,"Luettgen, Watsica And Kutch",Punitaqui,781362,marcha,2012-04-21
7506,"Torp, Bruen And Douglas","Chunghwa Telecom Co., Ltd.",921716,redes sociales,2007-08-16
7507,Doyle-Powlowski,Marine Petroleum Trust,237332,marcha,2019-07-04
7508,"Feil, Kemmer And Koch",SQM - Mapocho,486315,marcha,2009-11-10
7509,Rippin-Effertz,Zion Oil & Gas Inc,942533,marcha,2014-02-09
7510,Kilback ,CMP - El Laco,567129,redes sociales,2019-08-03
7511,Ritchie Group,"Biocept, Inc.",887499,redes sociales,2001-04-14
7512,Macejkovic-Haag,Kilroy Realty Corporation,828568,marcha,1969-07-14
7513,Weimann Inc,Celgene Corporation,184610,redes sociales,2016-06-21
7514,Hayes And Sons,First Trust Multi-Asset Diversified Income Index Fund,409540,redes sociales,2018-07-12
7515,Durgan ,Pinatolca,553458,marcha,1969-08-04
7516,Jenkins And Sons,Isla Guarello,123412,marcha,1972-11-15
7517,"Gorczany, Lindgren And Smitham",Blackstone GSO Long Short Credit Income Fund,903919,marcha,2008-12-27
7518,Hirthe ,CMP - Los Colorados,659085,marcha,2019-02-20
7519,Stracke Inc,SQM Salar,2886,redes sociales,2009-03-08
7520,Braun-Eichmann,La Pepa,951372,redes sociales,2019-03-28
7521,"Roob, Windler And Weimann",AmerisourceBergen Corporation (Holding Co),150436,marcha,2007-12-02
7522,Conn-Jones,CoreSite Realty Corporation,24208,redes sociales,1998-06-07
7523,"Mann, Howell And Shields",El Toqui,269563,redes sociales,1968-08-16
7524,"Jacobson, Boyer And Gleichner",Isla Guarello,213881,marcha,1998-02-28
7525,Johnson-Hintz,Quiborax,279445,redes sociales,2003-10-30
7526,Hansen-Hills,Can Can,934397,marcha,2019-07-03
7527,Conroy ,Ferton,467877,marcha,1981-02-24
7528,"Murray, Monahan And Hilll",Celite - Tilviche,895040,redes sociales,1996-03-31
7529,Sanford And Sons,Alhue,630062,redes sociales,2010-02-17
7530,Langworth-Osinski,Mantos Blancos,305376,redes sociales,2018-09-12
7531,Hermiston Group,CVS Health Corporation,996169,redes sociales,2003-04-09
7532,Konopelski And Sons,Jazz Pharmaceuticals plc,11897,redes sociales,2005-03-04
7533,Prohaska Inc,"Vectrus, Inc.",225254,marcha,1961-04-02
7534,Kunze-Ernser,AGCO Corporation,585673,redes sociales,1972-04-19
7535,"Bruen, Kulas And Hodkiewicz",Bronce de Petorca,540530,redes sociales,2004-11-25
7536,Luettgen And Sons,"FSB Bancorp, Inc.",860163,redes sociales,1991-09-29
7537,Greenholt Inc,El Guindo,513298,marcha,1995-12-27
7538,Jaskolski-Boyer,"Mid-America Apartment Communities, Inc.",224873,redes sociales,1984-08-01
7539,"Gutkowski, Huel And Murazik",Kite Realty Group Trust,186600,marcha,2016-02-09
7540,Gutkowski-Schinner,"Enanta Pharmaceuticals, Inc.",954353,marcha,1982-05-19
7541,Rolfson-Bashirian,"FTI Consulting, Inc.",902436,marcha,2001-09-04
7542,"Weissnat, Jaskolski And Bins","Fiserv, Inc.",554205,marcha,1985-05-13
7543,Bartoletti-Dickinson,Nuveen Michigan Quality Municipal Income Fund,126926,redes sociales,1991-05-23
7544,Boehm-Luettgen,"Mirna Therapeutics, Inc.",691851,marcha,2001-07-10
7545,Afesip,Esperanza,137376,redes sociales,2008-06-23
7546,"Altenwerth, Abernathy And Kuvalis",Royal Caribbean Cruises Ltd.,568869,redes sociales,2018-12-16
7547,Raynor-Oberbrunner,Intracampos,73659,redes sociales,2012-07-28
7548,"Spinka, Senger And Brakus","Western New England Bancorp, Inc.",479928,redes sociales,2009-03-14
7549,Hagenes-Gutmann,"PDF Solutions, Inc.",227371,redes sociales,2002-02-13
7550,Kirlin ,"Ashford Hospitality Prime, Inc.",93829,redes sociales,1993-09-24
7551,Franecki ,"Western Refining Logistics, LP",973706,redes sociales,1999-08-20
7552,"Heller, Bradtke And Stoltenberg",Nuveen Connecticut Quality Municipal Income Fund,96577,marcha,1990-02-02
7553,"Corkery, Roberts And Leffler",Lambert,355429,marcha,1996-01-22
7554,Grady Group,"First Financial Bankshares, Inc.",707998,marcha,1996-04-09
7555,Halvorson ,China Cord Blood Corporation,577249,marcha,1971-05-02
7556,Hirthe ,Andina,997915,redes sociales,2007-01-29
7557,Schaden-Gleichner,"Everspin Technologies, Inc.",390616,redes sociales,1997-04-05
7558,Hilpert ,Abeona Therapeutics Inc.,243069,marcha,2005-09-07
7559,Watsica-Hauck,Bronce de Petorca,917119,redes sociales,2006-07-24
7560,Blanda-Gislason,United Microelectronics Corporation,81888,redes sociales,1970-01-30
7561,Abernathy ,ENGlobal Corporation,149132,marcha,2000-04-23
7562,Roob-Nicolas,El Soldado,301362,redes sociales,2006-02-23
7563,"Gusikowski, Luettgen And Cremin",CMP - Algarrobo,890402,redes sociales,2018-03-23
7564,Thiel And Sons,Silvercrest Asset Management Group Inc.,681921,marcha,2005-11-01
7565,"Schiller, Ullrich And Willms","Vectrus, Inc.",839397,marcha,2018-03-29
7566,"Thompson, Baumbach And Medhurst",Tuina,942706,marcha,2011-01-30
7567,Sipes Group,"Taiwan Fund, Inc. (The)",210893,marcha,2016-02-05
7568,"Macejkovic, Barrows And Kshlerin",Nuveen Energy MLP Total Return Fund,113380,redes sociales,1976-11-12
7569,"Lakin, Smitham And Greenholt","Aspen Technology, Inc.",831666,redes sociales,2016-03-13
7570,Mills ,Cerro Negro,116651,redes sociales,2012-01-19
7571,Williamson-Schmidt,"Midland States Bancorp, Inc.",913982,redes sociales,1998-05-09
7572,"Schmidt, Ryan And Jacobson",Pucobre,243067,marcha,1972-03-21
7573,Hintz-Reilly,Radomiro Tomic,846283,marcha,1998-06-20
7574,"Schmidt, Reinger And Zulauf",Cosayach - Negreiros,781991,marcha,1985-12-10
7575,Stracke And Sons,Comcast Corporation,261845,redes sociales,2005-11-08
7576,Muller Inc,Eagle Bulk Shipping Inc.,123501,marcha,1996-05-11
7577,"Cole, Reichert And Halvorson",Andes Travertine,444871,marcha,2015-11-01
7578,Hagenes-Gutmann,"German American Bancorp, Inc.",115257,redes sociales,1990-10-21
7579,Ferry-Schuppe,"Destination XL Group, Inc.",796148,marcha,2009-12-10
7580,Hoppe-Wolf,Spence,785072,marcha,2000-01-29
7581,Bode ,Celite - Tilviche,865836,redes sociales,1979-11-02
7582,"Littel, Lynch And Lowe",First Trust Senior Loan Fund ETF,509634,marcha,1990-05-02
7583,Sporer Inc,La Coipa,195360,marcha,1989-09-07
7584,"Boyle, Weissnat And Blanda",Dos Amigos,197574,redes sociales,1973-11-10
7585,Wiegand ,Tuina,962651,marcha,2013-04-10
7586,Lueilwitz Inc,Pinatolca,870745,marcha,1980-01-24
7587,Bahringer Inc,Anheuser-Busch Inbev SA,11569,redes sociales,1991-01-07
7588,"Bashirian, Greenholt And Russel",Quiborax,702312,redes sociales,2018-11-12
7589,"Lebsack, Borer And Sanford",Schwager,298405,marcha,2018-01-15
7590,"Toy, Hahn And King",Regal Entertainment Group,548531,redes sociales,2011-04-09
7591,Rath Group,"Forterra, Inc.",761427,marcha,2018-11-17
7592,Aecc,Merus Labs International Inc.,535983,redes sociales,2005-05-19
7593,"Moore, Kub And Murazik",Apollo Senior Floating Rate Fund Inc.,409956,marcha,2006-07-31
7594,Senger Inc,"Tootsie Roll Industries, Inc.",18397,marcha,1990-08-18
7595,Aeal,Unisys Corporation,367058,marcha,1996-02-02
7596,Leffler Group,"First Financial Bankshares, Inc.",528667,marcha,2006-11-23
7597,Hills Inc,Mantos de la Luna,564173,marcha,2016-03-30
7598,Haag-Stoltenberg,Global Partner Acquisition Corp.,70782,redes sociales,2015-12-23
7599,"Boehm, Mccullough And Cronin",China Cord Blood Corporation,822105,redes sociales,1970-03-05
7600,Mohr And Sons,"Vectrus, Inc.",652282,redes sociales,1980-12-30
7601,"Goldner, Kertzmann And Paucek",Nabriva Therapeutics AG,805201,marcha,2006-06-02
7602,Schneider Inc,Quiborax,273481,marcha,2018-09-05
7603,Trantow-Quigley,Nuveen Energy MLP Total Return Fund,376144,redes sociales,2016-03-09
7604,Farrell Group,Ferton,178688,marcha,1972-05-16
7605,"Hayes, Goodwin And Feil",Envision Healthcare Corporation,442714,redes sociales,2015-11-25
7606,Boehm-Luettgen,Franke,276867,redes sociales,2018-09-25
7607,"Volkman, Kulas And Hodkiewicz","PDF Solutions, Inc.",232037,marcha,2009-04-27
7608,Harvey And Sons,STMicroelectronics N.V.,85868,redes sociales,1993-08-03
7609,Accion Familiar,"Gabelli Equity Trust, Inc. (The)",804634,marcha,1974-06-05
7610,Kunze-Welch,"Zynerba Pharmaceuticals, Inc.",989030,redes sociales,1976-01-05
7611,Boehm-Luettgen,Quiborax - Ascotan,911700,marcha,2018-07-29
7612,Huels ,"Kura Oncology, Inc.",954575,redes sociales,1989-09-10
7613,Ritchie-Rath,PureFunds ETFx HealthTech ETF,992784,redes sociales,2018-07-07
7614,"Powlowski, Kohler And Deckow",Envision Healthcare Corporation,130495,redes sociales,2011-07-03
7615,Bradtke Inc,Pascua,756359,marcha,1999-07-14
7616,"Pagac, Huel And Abshire",Applied DNA Sciences Inc,302786,marcha,1968-11-26
7617,Jerde And Sons,Peckett,38192,redes sociales,2002-02-24
7618,O'Reilly Group,"LM Funding America, Inc.",738536,marcha,1980-02-25
7619,"Kutch, Will And Grant",Biglari Holdings Inc.,50319,redes sociales,1972-04-19
7620,Kuhlman-Bernhard,Haldeman - Sagasca,719203,redes sociales,2014-10-31
7621,"Homenick, Sipes And Carter",Bright Scholar Education Holdings Limited,697638,marcha,2004-09-29
7622,Leannon-Brekke,Blackstone GSO Long Short Credit Income Fund,686323,marcha,2012-11-26
7623,Wehner-Steuber,Data Processing,62358,redes sociales,2008-08-06
7624,Langworth-Osinski,La Pepa,588657,marcha,2013-08-23
7625,Hudson ,El Tesoro,740696,marcha,1970-10-18
7626,Fritsch Group,"UMH Properties, Inc.",836658,redes sociales,1982-03-03
7627,Hoppe-Wolf,"Waste Management, Inc.",485380,redes sociales,1999-10-22
7628,"Stiedemann, Willms And Fay","China Lodging Group, Limited",575303,marcha,1960-08-03
7629,Rohan And Sons,"Pepsico, Inc.",547851,redes sociales,2016-05-19
7630,Wisoky Inc,"MiMedx Group, Inc",919226,redes sociales,2019-03-06
7631,Flatley Group,Microsemi Corporation,904014,marcha,2018-07-09
7632,"Labadie, Veum And Hammes",Michilla,522892,redes sociales,1958-02-01
7633,Swaniawski-Kutch,"Chegg, Inc.",790737,marcha,2018-10-07
7634,Abernathy ,Cerro Iman,717894,redes sociales,1967-12-10
7635,Bode-Nikolaus,Peapack-Gladstone Financial Corporation,218879,redes sociales,2011-06-09
7636,"Goyette, Huels And Champlin",Walter Investment Management Corp.,723589,marcha,2017-08-24
7637,Walter-Littel,Ministro Hales,482806,marcha,2003-10-29
7638,Sauer-Stoltenberg,Maganeso III de Atacama,712478,marcha,2012-10-23
7639,Doyle-Powlowski,Kraton Corporation,721014,marcha,2017-07-27
